,TS代码,股东名称,持股比例
42,000001.SZ,中国平安保险(集团)股份有限公司-集团本级-自有资金,49.56
2,000001.SZ,香港中央结算有限公司(陆股通),9.81
54,000001.SZ,中国平安人寿保险股份有限公司-自有资金,6.11
99,000001.SZ,中国证券金融股份有限公司,2.5
62,000001.SZ,中国平安人寿保险股份有限公司-传统-普通保险产品,2.27
91,000002.SZ,深圳市地铁集团有限公司,29.38
8,000002.SZ,香港中央结算(代理人)有限公司,16.3
99,000002.SZ,深圳市钜盛华股份有限公司,8.39
89,000002.SZ,安邦人寿保险股份有限公司-保守型投资组合,6.73
0,000002.SZ,香港中央结算有限公司(陆股通),4.91
81,000004.SZ,深圳中农大科技投资有限公司,28.43
5,000004.SZ,彭瀛,9.88
6,000004.SZ,北京中关村大河资本投资管理中心(有限合伙)-北京中关村并购母基金投资中心(有限合伙),9.23
40,000004.SZ,北京中关村并购母基金投资中心(有限合伙),9.23
37,000004.SZ,深圳市睿鸿置业发展有限公司,7.88
58,000005.SZ,中国投资有限公司,17.41
95,000005.SZ,(香港)中国投资有限公司,17.41
11,000005.SZ,长安国际信托股份有限公司,5.02
26,000005.SZ,深圳市博睿意碳源科技有限公司,4.53
93,000005.SZ,陈栩,1.99
49,000006.SZ,深圳市人民政府国有资产监督管理委员会,21.96
48,000006.SZ,深圳市资本运营集团有限公司,14.09
53,000006.SZ,深圳市远致投资有限公司,14.09
27,000006.SZ,中央汇金资产管理有限责任公司,3.51
28,000006.SZ,香港中央结算有限公司(陆股通),1.13
32,000007.SZ,汉富控股有限公司,21.65
34,000007.SZ,深圳市博恒投资有限公司,10.82
70,000007.SZ,陈卓婷,3.89
25,000007.SZ,林昌珍,2.83
85,000007.SZ,北京朴和恒丰投资有限公司,2.36
7,000008.SZ,中国国投高新产业投资有限公司,25.62
67,000008.SZ,北京市海淀区国有资产投资经营有限公司,12.59
97,000008.SZ,王志全,7.23
98,000008.SZ,杭州霁云投资管理合伙企业(有限合伙),5.02
86,000008.SZ,西藏德创信息咨询有限公司,3.6
50,000009.SZ,深圳市富安控股有限公司,11.91
2,000009.SZ,韶关市高创企业管理有限公司,10.0
26,000009.SZ,深圳市宝安区投资管理有限公司,5.57
39,000009.SZ,李松强,4.95
36,000009.SZ,香港中央结算有限公司(陆股通),1.27
58,000010.SZ,佳源创盛控股集团有限公司,14.57
94,000010.SZ,深圳五岳乾坤投资有限公司,9.86
38,000010.SZ,红信鼎通资本管理有限公司,5.43
35,000010.SZ,江阴鑫诚业展投资管理企业(有限合伙),4.77
43,000010.SZ,保达投资管理(平潭)有限公司,4.63
51,000011.SZ,深圳市投资控股有限公司,63.82
92,000011.SZ,深圳市建设投资控股公司,54.33
97,000011.SZ,深圳市投资管理公司,9.49
38,000011.SZ,中国东方资产管理股份有限公司,5.87
6,000011.SZ,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),1.85
72,000012.SZ,前海人寿保险股份有限公司-海利年年,15.51
68,000012.SZ,前海人寿保险股份有限公司-万能型保险产品,3.94
74,000012.SZ,深圳市钜盛华股份有限公司,2.88
5,000012.SZ,中山润田投资有限公司,2.82
6,000012.SZ,香港中央结算有限公司(陆股通),2.18
99,000014.SZ,深业沙河(集团)有限公司,34.02
10,000014.SZ,李剑霆,1.51
93,000014.SZ,中科招商投资管理集团股份有限公司,1.45
5,000014.SZ,陆平,1.19
8,000014.SZ,张沐城,1.09
64,000016.SZ,华侨城集团有限公司,21.75
90,000016.SZ,中信证券经纪(香港)有限公司,7.56
34,000016.SZ,国元证券经纪(香港)有限公司,2.47
19,000016.SZ,HOLYTIMEGROUPLIMITED,2.38
11,000016.SZ,HOLY TIME GROUP LIMITED,2.38
56,000017.SZ,深圳市国晟能源投资发展有限公司,11.52
45,000017.SZ,大华继显(香港)有限公司,2.89
33,000017.SZ,国信证券(香港)经纪有限公司,2.52
17,000017.SZ,申万宏源证券(香港)有限公司,1.51
48,000017.SZ,李惠丽,0.71
50,000019.SZ,深圳市食品集团有限公司,63.79
81,000019.SZ,深圳市福德国有资本运营有限公司,63.79
26,000019.SZ,深圳市食品物资集团有限公司,63.79
82,000019.SZ,深圳市农产品集团股份有限公司,8.23
90,000019.SZ,深圳市农产品股份有限公司,8.23
69,000020.SZ,武汉中恒新科技产业集团有限公司,42.13
1,000020.SZ,武汉中恒集团,42.13
38,000020.SZ,赛格(香港)有限公司,5.85
61,000020.SZ,GOOD HOPE CORNER INVESTMENTS LTD,4.49
14,000020.SZ,GOOD HOPE CORNER INVESTMENTS LTD.,3.43
95,000021.SZ,中国电子信息产业集团有限公司,44.51
1,000021.SZ,中国电子有限公司,36.61
32,000021.SZ,博旭(香港)有限公司,7.25
8,000021.SZ,翁仁源,3.4
7,000021.SZ,香港中央结算有限公司(陆股通),1.96
0,000023.SZ,广东君浩股权投资控股有限公司,27.39
1,000023.SZ,深圳科杰斯投资有限公司,10.0
95,000023.SZ,深圳市投资控股有限公司,8.91
4,000023.SZ,佳兆业捷信物流(深圳)有限公司,5.0
83,000023.SZ,深圳市东部投资发展股份有限公司,3.07
29,000025.SZ,深圳市特发集团有限公司,49.09
99,000025.SZ,深圳远致富海珠宝产业投资企业(有限合伙),20.88
44,000025.SZ,中信银行股份有限公司-建信中证500指数增强型证券投资基金,0.65
69,000025.SZ,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,0.41
40,000025.SZ,创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托,0.37
4,000026.SZ,中航国际控股有限公司,38.07
25,000026.SZ,中航国际控股股份有限公司,38.06
33,000026.SZ,杨祖贵,4.47
42,000026.SZ,杨三彩,2.34
95,000026.SZ,全国社保基金一一四组合,2.18
36,000027.SZ,深圳市人民政府国有资产监督管理委员会,47.82
79,000027.SZ,华能国际电力股份有限公司,25.02
85,000027.SZ,中国证券金融股份有限公司,2.28
70,000027.SZ,中信信托成泉汇涌八期金融投资集合资金信托计划,1.26
3,000027.SZ,深圳市资本运营集团有限公司,0.95
0,000028.SZ,国药控股股份有限公司,56.06
42,000028.SZ,香港中央结算有限公司(陆股通),5.13
74,000028.SZ,HTHK/CMGFSGUFP-CMGFIRSTSTATECHINAGROWTHFD,2.68
78,000028.SZ,HTHK/CMG FSGUFP-CMG FIRST STATE CHINA GROWTH FD,2.68
36,000028.SZ,HTHK/CMG FSGUFP-CMG FIRSTSTATE CHINA GROWTH FD,2.68
50,000029.SZ,深圳市投资控股有限公司,63.55
27,000029.SZ,山金金控资本管理有限公司-山金金控稳健一号基金,1.02
26,000029.SZ,卢志高,0.32
86,000029.SZ,杨水莲,0.13
24,000029.SZ,谭石庆,0.13
99,000030.SZ,一汽股权投资(天津)有限公司,24.41
17,000030.SZ,吉林省天亿投资有限公司,18.31
13,000030.SZ,宁波华翔电子股份有限公司,13.95
36,000030.SZ,吉林省国有资本运营有限责任公司,10.03
2,000030.SZ,富奥汽车零部件股份有限公司回购专用证券账户,3.81
80,000031.SZ,Vibrant Oak Limited,53.8
64,000031.SZ,明毅有限公司,53.8
93,000031.SZ,中粮集团有限公司,47.27
35,000031.SZ,太平人寿保险有限公司-传统-普通保险产品-022LCT001深,6.61
3,000031.SZ,太平人寿保险有限公司-传统-普通保险产品-022L-CT001深,6.61
36,000032.SZ,中国中电国际信息服务有限公司,49.04
60,000032.SZ,中国电子进出口有限公司,9.29
69,000032.SZ,深圳市龙岗区城市建设投资集团有限公司,2.73
54,000032.SZ,吴安,2.12
50,000032.SZ,中国人民人寿保险股份有限公司-万能-个险万能,1.43
8,000034.SZ,郭为,23.6638
79,000034.SZ,中国希格玛有限公司,12.26
96,000034.SZ,王晓岩,9.88
57,000034.SZ,深圳市宝安建设投资集团有限公司,4.02
93,000034.SZ,王廷月,2.46
75,000035.SZ,南通乾创投资有限公司,16.77
94,000035.SZ,中节能华禹基金管理有限公司-中节能华禹(镇江)绿色产业并购投资基金(有限合伙),8.66
67,000035.SZ,宁波梅山保税港区昊宇龙翔股权投资中心(有限合伙),4.1
61,000035.SZ,中国平安人寿保险股份有限公司-分红-个险分红,3.96
60,000035.SZ,严圣军,3.85
0,000036.SZ,华联发展集团有限公司,33.21
43,000036.SZ,香港中央结算有限公司(陆股通),3.32
91,000036.SZ,于平,2.05
26,000036.SZ,中国工商银行-富国中证红利指数增强型证券投资基金,1.13
17,000036.SZ,中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金,1.13
43,000037.SZ,香港南海洋行(国际)有限公司,15.28
94,000037.SZ,深圳广聚实业有限公司,12.22
39,000037.SZ,深圳市能源集团有限公司,10.8
8,000037.SZ,BOCI SECURITIES LIMITED,2.47
31,000037.SZ,"高华-汇丰-GOLDMAN, SACHS & CO.LLC",2.13
46,000038.SZ,姜剑,21.42
95,000038.SZ,朱兰英,19.95
40,000038.SZ,青岛亚星实业有限公司,13.57
70,000038.SZ,夏东明,7.41
88,000038.SZ,曹林芳,6.67
68,000039.SZ,香港中央结算(代理人)有限公司,58.18
47,000039.SZ,香港中央结算有限公司(陆股通),58.02
69,000039.SZ,中远集装箱工业有限公司,14.48
1,000039.SZ,深圳市资本运营集团有限公司,9.74
26,000039.SZ,中信保诚人寿保险有限公司-分红账户,5.19
26,000040.SZ,东旭集团有限公司,39.04
99,000040.SZ,国泓资产-宁波银行-西藏信托-鼎证47号单一资金信托,4.75
94,000040.SZ,海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划,4.37
93,000040.SZ,泰达宏利基金-招商银行-国民信托-国民信托·证通8号单一资金信托计划,4.34
96,000040.SZ,前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托,4.18
10,000042.SZ,深圳市中洲置地有限公司,52.62
49,000042.SZ,南昌联泰投资有限公司,8.3
96,000042.SZ,深圳市远致投资有限公司,7.24
11,000042.SZ,深圳市资本运营集团有限公司,6.78
89,000042.SZ,华润深国投信托有限公司-华润信托·招盈远见单一资金信托,3.93
22,000045.SZ,深圳市投资控股有限公司,45.96
3,000045.SZ,深圳市深超科技投资有限公司,3.17
25,000045.SZ,吕强,1.2
47,000045.SZ,路云龙,0.96
73,000045.SZ,福建柏瑞嘉源资产管理有限公司-柏瑞嘉源成长1号基金,0.77
28,000046.SZ,中国泛海控股集团有限公司,68.49
50,000046.SZ,中国证券金融股份有限公司,3.15
91,000046.SZ,黄木顺,2.71
78,000046.SZ,泛海能源控股股份有限公司,2.39
97,000046.SZ,紫晶置业投资管理有限公司,1.68
1,000048.SZ,京基集团有限公司,43.04
77,000048.SZ,深圳市华超投资控股集团有限公司,29.85
45,000048.SZ,深圳市京基时代实业有限公司,29.85
18,000048.SZ,卢诗玮,3.04
27,000048.SZ,王世忱,2.47
99,000049.SZ,广东德赛集团有限公司,45.23
2,000049.SZ,惠州市创新投资有限公司,22.85
75,000049.SZ,中央汇金资产管理有限责任公司,3.42
9,000049.SZ,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,3.32
8,000049.SZ,中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金,3.1
69,000050.SZ,厦门金财产业发展有限公司,19.02
77,000050.SZ,中航国际控股股份有限公司,14.24
44,000050.SZ,中航国际控股有限公司,14.24
54,000050.SZ,中国航空技术深圳有限公司,8.76
56,000050.SZ,中国航空技术国际控股有限公司,8.4
1,000055.SZ,深圳市邦林科技发展有限公司,10.87
0,000055.SZ,盛久投资有限公司,9.66
17,000055.SZ,方威,3.62
31,000055.SZ,共青城时利和投资管理合伙企业(有限合伙),2.46
89,000055.SZ,申万宏源证券(香港)有限公司,1.22
53,000056.SZ,深圳市皇庭产业控股有限公司,21.73
13,000056.SZ,深圳市皇庭投资管理有限公司,21.62
98,000056.SZ,苏州和瑞九鼎投资中心(有限合伙),8.18
57,000056.SZ,百利亚太投资有限公司,6.18
71,000056.SZ,鍾志強,1.84
33,000058.SZ,深圳市赛格集团有限公司,56.7
7,000058.SZ,LI SHERYN ZHAN MING,0.73
60,000058.SZ,深圳市福田实业发展有限公司,0.64
64,000058.SZ,深圳市荣超投资发展有限公司,0.62
10,000058.SZ,刘国成,0.59
58,000059.SZ,北方华锦化学工业集团有限公司,32.16
10,000059.SZ,中兵投资管理有限责任公司,10.78
43,000059.SZ,振华石油控股有限公司,9.92
59,000059.SZ,黄杰,2.04
65,000059.SZ,洪泽君,1.58
19,000060.SZ,广东省广晟资产经营有限公司,27.51
73,000060.SZ,深圳市广晟投资发展有限公司,3.91
33,000060.SZ,中信保诚基金-浦发银行-云南国际信托-云信智兴2017-510号单一资金信托,2.29
45,000060.SZ,中国证券金融股份有限公司,2.26
2,000060.SZ,广东省广晟金融控股有限公司,2.2
0,000061.SZ,深圳市食品物资集团有限公司,34.0
19,000061.SZ,深圳市食品集团有限公司(注1),34.0
30,000061.SZ,深圳市食品集团有限公司,34.0
57,000061.SZ,深圳市福德国有资本运营有限公司,34.0
62,000061.SZ,富德生命人寿保险股份有限公司-万能H,13.03
53,000062.SZ,深圳华强集团有限公司,70.76
57,000062.SZ,杨林,2.7
69,000062.SZ,张玲,2.28
23,000062.SZ,中央汇金资产管理有限责任公司,1.28
66,000062.SZ,中国证券金融股份有限公司,0.7
97,000063.SZ,中兴新通讯有限公司,28.4
94,000063.SZ,香港中央结算(代理人)有限公司,17.99
52,000063.SZ,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.8
71,000063.SZ,香港中央结算有限公司(陆股通),1.61
49,000063.SZ,全国社保基金一零一组合,1.27
12,000065.SZ,中国北方工业有限公司,43.17
79,000065.SZ,北方工业科技有限公司,13.69
44,000065.SZ,江苏悦达集团有限公司,5.24
25,000065.SZ,西安北方惠安化学工业有限公司,4.99
11,000065.SZ,中兵投资管理有限责任公司,3.0
0,000066.SZ,中国电子有限公司,41.51
63,000066.SZ,中国电子信息产业集团有限公司,40.75
44,000066.SZ,方文艳,2.01
16,000066.SZ,香港中央结算有限公司(陆股通),1.6
58,000066.SZ,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,1.54
99,000068.SZ,深圳市华融泰资产管理有限公司,26.48
97,000068.SZ,深圳赛格股份有限公司,17.01
84,000068.SZ,深圳市赛格集团有限公司,5.79
5,000068.SZ,陈进平,0.74
58,000068.SZ,左敏,0.67
26,000069.SZ,华侨城集团有限公司,47.01
60,000069.SZ,前海人寿保险股份有限公司-海利年年,7.54
93,000069.SZ,国新投资有限公司,3.28
54,000069.SZ,北京诚通金控投资有限公司,3.24
27,000069.SZ,中国证券金融股份有限公司,2.99
85,000070.SZ,深圳市特发集团有限公司,39.18
87,000070.SZ,陈传荣,3.73
80,000070.SZ,长城证券-兴业银行-长城特发智想1号集合资产管理计划,2.68
89,000070.SZ,五矿企荣有限公司,2.67
86,000070.SZ,戴荣,2.19
95,000078.SZ,深圳海王集团股份有限公司,45.96
87,000078.SZ,云南国际信托有限公司-海王生物员工持股计划集合资金信托计划,1.45
89,000078.SZ,云南国际信托有限公司-云南信托云霞7期集合资金信托计划,1.24
91,000078.SZ,长安国际信托股份有限公司-长安信托-长安投资756号证券投资集合资金信托计划,0.99
96,000078.SZ,毕正操,0.92
18,000088.SZ,深圳市盐田港集团有限公司,67.48
39,000088.SZ,中央汇金资产管理有限责任公司,3.21
16,000088.SZ,嘉实基金-农业银行-嘉实中证金融资产管理计划,0.96
82,000088.SZ,银华基金-农业银行-银华中证金融资产管理计划,0.95
77,000088.SZ,博时基金-农业银行-博时中证金融资产管理计划,0.95
32,000089.SZ,深圳市机场(集团)有限公司,56.97
62,000089.SZ,香港中央结算有限公司(陆股通),9.2
54,000089.SZ,安本标准投资管理(亚洲)有限公司-安本环球-中国A股基金,2.02
15,000089.SZ,GIC PRIVATE LIMITED,1.91
78,000089.SZ,安本亚洲资产管理有限公司-安本环球-中国A股基金,1.89
29,000090.SZ,深圳市人民政府国有资产监督管理委员会,23.47
8,000090.SZ,深圳市特区建工集团有限公司,23.47
40,000090.SZ,深圳市资本运营集团有限公司,16.1
87,000090.SZ,深圳市远致投资有限公司,16.1
76,000090.SZ,国泰君安证券资管-招商银行-国泰君安君享天健如意集合资产管理计划,4.83
45,000096.SZ,深圳市广聚投资控股(集团)有限公司,55.54
36,000096.SZ,深圳市利嘉商业管理有限公司,4.32
5,000096.SZ,孙蕾,3.9
41,000096.SZ,蔡世潮,3.68
60,000096.SZ,华信信托股份有限公司-华信信托·工信37号集合资金信托计划,3.5
14,000099.SZ,中国中海直有限责任公司,38.63
32,000099.SZ,中央汇金资产管理有限责任公司,2.52
53,000099.SZ,吴晓锋,2.09
38,000099.SZ,楼文胜,1.63
99,000099.SZ,香港中央结算有限公司(陆股通),0.83
89,000100.SZ,李东生及其一致行动人,9.03
87,000100.SZ,惠州市投资控股有限公司,6.49
31,000100.SZ,李东生,6.02
9,000100.SZ,香港中央结算有限公司(陆股通),4.0
90,000100.SZ,西藏天丰企业管理有限公司,3.89
88,000150.SZ,宜华企业(集团)有限公司,37.08
93,000150.SZ,林正刚,12.28
17,000150.SZ,深圳市前海新富阳实业有限公司,8.17
11,000150.SZ,宁波津原投资有限公司,1.49
26,000150.SZ,李岳雄,1.3
48,000151.SZ,中国成套设备进出口集团有限公司,45.36
24,000151.SZ,邓兰,1.13
60,000151.SZ,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金,0.78
39,000151.SZ,陈山荣,0.6
61,000151.SZ,中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金,0.55
73,000153.SZ,安徽省无为制药厂,11.48
0,000153.SZ,安徽蚌埠涂山制药厂,8.18
16,000153.SZ,安徽省马鞍山生物化学制药厂,5.86
22,000153.SZ,安徽丰原集团有限公司,4.91
98,000153.SZ,兴业证券股份有限公司约定购回专用账户,2.63
32,000155.SZ,四川省能源投资集团有限责任公司,26.2
76,000155.SZ,四川化工控股(集团)有限责任公司,11.3
43,000155.SZ,四川发展(控股)有限责任公司,4.1
71,000155.SZ,成都万年长青企业管理合伙企业(有限合伙),3.87
47,000155.SZ,成都百合正信信息技术合伙企业(有限合伙),3.4
69,000156.SZ,华数数字电视传媒集团有限公司,41.85
93,000156.SZ,杭州云溪投资合伙企业(有限合伙),20.0
68,000156.SZ,东方星空创业投资有限公司,3.22
94,000156.SZ,浙江省发展资产经营有限公司,2.47
60,000156.SZ,中国人民财产保险股份有限公司-传统-普通保险产品,2.37
92,000157.SZ,香港中央结算(代理人)有限公司,17.72
83,000157.SZ,湖南省人民政府国有资产监督管理委员会,16.03
20,000157.SZ,长沙中联和一盛投资合伙企业(有限合伙),8.6147
19,000157.SZ,香港中央结算有限公司(陆股通),8.5727
76,000157.SZ,中联重科股份有限公司回购专用证券账户,4.98
44,000158.SZ,石家庄常山纺织集团有限责任公司,28.4806
88,000158.SZ,北京北明伟业控股有限公司,15.94
92,000158.SZ,北京万峰嘉晔投资管理中心(有限合伙),4.58
99,000158.SZ,北京万峰嘉华投资管理中心(有限合伙),3.96
89,000158.SZ,新华基金-平安银行-新华恒定20号常山股份定向增发资产管理计划,3.82
77,000159.SZ,乾泰中晟股权投资有限公司,29.67
30,000159.SZ,伍文彬,2.22
40,000159.SZ,虞文彬,2.0
17,000159.SZ,张源,1.04
1,000159.SZ,瑞士信贷(香港)有限公司,0.58
83,000166.SZ,中国建银投资有限责任公司,29.27
93,000166.SZ,中央汇金投资有限责任公司,22.28
6,000166.SZ,香港中央结算(代理人)有限公司,10.0
81,000166.SZ,上海久事(集团)有限公司,5.38
63,000166.SZ,四川发展(控股)有限责任公司,4.99
20,000301.SZ,江苏盛虹科技股份有限公司,68.71
67,000301.SZ,江苏吴江丝绸集团有限公司,8.02
0,000301.SZ,盛虹(苏州)集团有限公司,6.93
89,000301.SZ,苏州市吴江东方国有资本投资经营有限公司,3.33
7,000301.SZ,中意资管-招商银行-中意资产-定增优选36号资产管理产品,2.31
88,000333.SZ,美的控股有限公司,31.88
29,000333.SZ,香港中央结算有限公司(陆股通),17.3
74,000333.SZ,中国证券金融股份有限公司,2.86
80,000333.SZ,方洪波,1.97
69,000333.SZ,加拿大年金计划投资委员会-自有资金(交易所),1.73
58,000338.SZ,香港中央结算(代理人)有限公司,24.43
33,000338.SZ,潍柴控股集团有限公司,17.72
6,000338.SZ,香港中央结算有限公司(陆股通),9.56
31,000338.SZ,潍坊市投资集团有限公司,3.74
37,000338.SZ,中国证券金融股份有限公司,2.06
20,000400.SZ,许继集团有限公司,43.26
85,000400.SZ,中国证券金融股份有限公司,2.68
1,000400.SZ,香港中央结算有限公司(陆股通),2.29
68,000400.SZ,中央汇金资产管理有限责任公司,2.14
93,000400.SZ,摩根士丹利投资管理公司-摩根士丹利中国A股基金,1.22
71,000401.SZ,冀东发展集团有限责任公司,30.0
35,000401.SZ,北京金隅集团股份有限公司,7.0
86,000401.SZ,唐山国有资本运营有限公司,4.29
46,000401.SZ,香港中央结算有限公司(陆股通),3.56
99,000401.SZ,菱石投资有限公司,2.93
74,000402.SZ,北京金融街投资(集团)有限公司,31.14
84,000402.SZ,和谐健康保险股份有限公司-万能产品,15.88
96,000402.SZ,安邦人寿保险股份有限公司-积极型投资组合,14.1
17,000402.SZ,大家人寿保险股份有限公司-分红产品,14.1
54,000402.SZ,长城人寿保险股份有限公司,5.08
50,000403.SZ,杭州浙民投天弘投资合伙企业(有限合伙),27.49
80,000403.SZ,深圳市航运健康科技有限公司,18.7
4,000403.SZ,哈尔滨同智成科技开发有限公司,11.75
93,000403.SZ,中国信达资产管理股份有限公司,3.67
41,000403.SZ,浙江民营企业联合投资股份有限公司,2.4
0,000404.SZ,四川长虹电器股份有限公司,30.6
42,000404.SZ,绵阳科技城发展投资(集团)有限公司,4.13
91,000404.SZ,马国斌,3.58
76,000404.SZ,景德镇市国资运营投资控股集团有限责任公司,1.21
86,000404.SZ,郑泉,1.0
36,000407.SZ,山东胜利投资股份有限公司,9.99
65,000407.SZ,广州润铠胜投资有限责任公司,9.33
72,000407.SZ,阳光人寿保险股份有限公司-万能保险产品,5.56
83,000407.SZ,闫长勇,3.65
9,000407.SZ,广安合杉海博科技合伙企业(有限合伙),3.25
28,000408.SZ,西藏藏格创业投资集团有限公司,43.08
70,000408.SZ,四川省永鸿实业有限公司,19.42
32,000408.SZ,肖永明,10.87
53,000408.SZ,北京联达时代投资有限公司,2.76
3,000408.SZ,宁波梅山保税港区新沙鸿运投资管理有限公司,2.41
67,000409.SZ,山东地矿集团有限公司,16.71
1,000409.SZ,兖矿集团有限公司,16.71
64,000409.SZ,安徽丰原集团有限公司,10.85
61,000409.SZ,东海基金-工商银行-鑫龙177号资产管理计划,2.53
6,000409.SZ,山东省国有资产投资控股有限公司,2.5
71,000410.SZ,沈阳机床(集团)有限责任公司,30.13
12,000410.SZ,中国通用技术(集团)控股有限责任公司,29.99
39,000410.SZ,沈阳机床股份有限公司破产企业财产处置专用账户,9.38
40,000410.SZ,沈阳机床股份有限公司企业财产处置专用账户,9.38
42,000410.SZ,沈阳机床(集团)有限责任公司企业财产处置专用账户,9.24
56,000411.SZ,浙江省国际贸易集团有限公司,29.88
60,000411.SZ,浙江华辰投资发展有限公司,21.54
54,000411.SZ,华润医药商业集团有限公司,20.0
78,000411.SZ,全国社保基金六零四组合,3.37
61,000411.SZ,迪佛电信集团有限公司,3.23
64,000413.SZ,东旭集团有限公司,15.97
50,000413.SZ,石家庄宝石电子集团有限责任公司,5.8
17,000413.SZ,上海辉懋企业管理有限公司,4.58
95,000413.SZ,民生加银基金-平安银行-大业信托-大业信托·增利2号单一资金信托,1.7
94,000413.SZ,前海股权投资基金(有限合伙),1.45
97,000415.SZ,海航资本集团有限公司,33.26
66,000415.SZ,深圳兴航融投股权投资基金合伙企业(有限合伙),8.52
62,000415.SZ,天津燕山股权投资基金有限公司,5.01
16,000415.SZ,天津通万投资合伙企业(有限合伙),4.26
76,000415.SZ,中信建投基金-中信证券-中信建投定增11号资产管理计划,4.26
50,000416.SZ,中国泛海控股集团有限公司,22.56
99,000416.SZ,鞠钱,1.42
3,000416.SZ,浙江慧炬投资管理有限公司,1.08
7,000416.SZ,中信证券股份有限公司,0.96
10,000416.SZ,周建国,0.93
99,000417.SZ,合肥市建设投资控股(集团)有限公司,38.0
8,000417.SZ,颐和银丰天元(天津)集团有限公司,4.97
17,000417.SZ,前海人寿保险股份有限公司-自有资金,4.75
62,000417.SZ,前海人寿保险股份有限公-自有资金,4.75
74,000417.SZ,上海喜世润投资管理有限公司-盈升金衍同丰6号私募投资基金,4.64
87,000419.SZ,长沙通程实业(集团)有限公司,44.33
90,000419.SZ,熊德宏,1.74
17,000419.SZ,湖南天辰建设有限责任公司,1.34
12,000419.SZ,李志鹤,1.33
50,000419.SZ,湖南星电集团有限责任公司,1.08
82,000420.SZ,上海方大投资管理有限责任公司,16.25
26,000420.SZ,吉林化纤集团有限责任公司,16.14
47,000420.SZ,吉林市国有资本发展控股集团有限公司,8.72
97,000420.SZ,财通基金-上海银行-王锋,4.75
96,000420.SZ,深圳东升峥嵘科技有限公司,3.62
0,000421.SZ,南京公用控股(集团)有限公司,49.53
45,000421.SZ,南京市城市建设投资控股(集团)有限责任公司,4.7
34,000421.SZ,南京高淳港华燃气有限公司,1.5
48,000421.SZ,大众交通(集团)股份有限公司,1.06
25,000421.SZ,胡志平,0.99
37,000422.SZ,湖北宜化集团有限责任公司,17.08
75,000422.SZ,湖北恒信盈加投资合伙企业(有限合伙),5.0048
34,000422.SZ,代德明,5.0
15,000422.SZ,伍文彬,4.76
10,000422.SZ,伍文斌,4.71
17,000423.SZ,华润东阿阿胶有限公司,23.14
43,000423.SZ,华润医药投资有限公司,8.86
8,000423.SZ,香港中央结算有限公司(陆股通),7.45
91,000423.SZ,奥本海默基金公司-中国基金,4.01
50,000423.SZ,前海人寿保险股份有限公司-自有资金,3.37
95,000425.SZ,徐工集团工程机械有限公司,42.6
36,000425.SZ,香港中央结算有限公司(陆股通),5.81
81,000425.SZ,湖州盈灿投资合伙企业(有限合伙),4.7
33,000425.SZ,湖州泰元投资合伙企业(有限合伙),4.18
98,000425.SZ,中国证券金融股份有限公司,2.31
0,000426.SZ,内蒙古兴业集团股份有限公司,30.27
96,000426.SZ,甘肃西北矿业集团有限公司,9.64
47,000426.SZ,赤峰富龙公用(集团)有限责任公司,7.52
56,000426.SZ,李献来,6.0
28,000426.SZ,吉祥,3.63
10,000428.SZ,华天实业控股集团有限公司,32.48
76,000428.SZ,湖南华信恒源股权投资企业(有限合伙),29.44
61,000428.SZ,姜雅芳,1.37
65,000428.SZ,华夏人寿保险股份有限公司-万能保险产品,1.37
74,000428.SZ,中微小企业投资集团股份有限公司,1.0
30,000429.SZ,广东省交通集团有限公司,24.56
20,000429.SZ,广东省公路建设有限公司,22.3
44,000429.SZ,亚东复星亚联投资有限公司,9.68
12,000429.SZ,山东高速投资发展有限公司,9.68
45,000429.SZ,西藏赢悦投资管理有限公司,4.84
50,000430.SZ,张家界市经济发展投资集团有限公司,27.83
7,000430.SZ,张家界市武陵源旅游产业发展有限公司,7.47
86,000430.SZ,深圳市益田集团股份有限公司,4.79
26,000430.SZ,张家界国家森林公园管理处,4.73
38,000430.SZ,诺德基金-兴业银行-上海建工集团投资有限公司,2.95
45,000488.SZ,晨鸣控股有限公司,15.33
40,000488.SZ,香港中央结算(代理人)有限公司,12.85
81,000488.SZ,晨鸣控股(香港)有限公司,12.54
44,000488.SZ,中央汇金资产管理有限责任公司,2.07
16,000488.SZ,陈洪国,1.04
45,000498.SZ,山东高速集团有限公司,60.66
8,000498.SZ,山东铁路发展基金有限公司,14.85
2,000498.SZ,山东高速投资控股有限公司,5.94
44,000498.SZ,齐鲁交通发展集团有限公司,4.99
6,000498.SZ,光大金瓯资产管理有限公司,2.23
0,000501.SZ,武汉商联(集团)股份有限公司,21.55
