,TS代码,法人代表,总经理,董秘,城市
1138,000966.SZ,赵虎,袁光福,刘军,武汉市
1139,000967.SZ,马刚,马刚,金陶陶,绍兴市
1140,000968.SZ,董文敏,董文敏,杨军,太原市
1141,000662.SZ,迟晨,陈雪梅,迟晨,梧州市
1142,000663.SZ,黄宜光,邱小明,刘翔晖,三明市
1143,000665.SZ,张建红,曾文,赵洪涛,武汉市
1144,000661.SZ,马骥,安吉祥,张德申,长春市
1145,000757.SZ,颜广彤,臧晶,赵吉杰,内江市
1146,000758.SZ,董长清,秦军满,徐振华,北京市
1147,000759.SZ,李军,,汪梅芳,武汉市
1148,000760.SZ,张杰,刘建刚,刘建刚,荆州市
1149,000823.SZ,许统广,莫翊斌,陈东屏,汕头市
1150,000825.SZ,高建兵,李华,张志君,太原市
1151,000826.SZ,王书贵,李星文,张维娅,宜昌市
1152,000827.SZ,柴永元,乔少辉,姜正民,大连市
1153,000828.SZ,张庆文,萧瑞兴,李雪军,东莞市
1154,000969.SZ,李军风,毕林生,陈哲,北京市
1155,000970.SZ,王震西,马健,赵寅鹏,北京市
1156,000971.SZ,张岱,张岱,李文心,仙桃市
1157,000972.SZ,孔繁立,孔繁立,邢江,五家渠市
1158,000973.SZ,黄丙娣,刘亚军,何水秀,佛山市
1159,000666.SZ,吴旭东,毛发青,叶雪华,北京市
1160,000667.SZ,刘道明,何飞,冯娴,昆明市
1161,000668.SZ,王征,王焕新,谢高,上海市
1162,000669.SZ,王议农,刘玉祥,焦玉文,吉林市
1163,000670.SZ,张韵,张韵,王芳,荆州市
1164,000761.SZ,高烈,申强,高德胜,本溪市
1165,000762.SZ,曾泰,金国林,王迎春,拉萨市
1166,000763.SZ,吕文君,李波,陈建军,锦州市
1167,000765.SZ,李晓明,李晓明,严琦,武汉市
1168,000766.SZ,战红君,战红君,贾伟林,通化市
1169,000767.SZ,师李军,史晓文,赵文阳,太原市
1170,000829.SZ,黄绍文,刘彦,孙海龙,赣州市
1171,000830.SZ,张金成,,李雪莉,聊城市
1172,000831.SZ,刘雷云,王涛,王宏源,运城市
1173,000832.SZ,陈建斌,周景龙,王亚君,哈尔滨市
1174,000833.SZ,刘富华,朱冰,赵松,贵港市
1175,000975.SZ,杨海飞,欧新功,刘黎明,锡林郭勒盟
1176,000976.SZ,宣瑞国,杨永林,王颖,江门市
1177,000977.SZ,张磊,彭震,张宏,济南市
1178,000978.SZ,李飞影,孙其钊,黄锡军,桂林市
1179,600230.SH,谢华生,刘增,刘晓婧,沧州市
1180,600231.SH,文广,马育民,王宝杰,朝阳市
1181,600232.SH,傅国定,潘明忠,韩钧,舟山市
1182,600233.SH,喻会蛟,潘水苗,张龙武,大连市
1183,600234.SH,黄绍嘉,肖志坚,戴蓉,太原市
1184,688396.SH,李虹,,吴国屹,
1185,300617.SZ,陈晓晖,陈晓凌,陈晓晖,常州市
1186,600056.SH,高渝文,王宏新,刘清源,北京市
1187,600057.SH,张水利,邓启东,廖杰,厦门市
1188,600058.SH,朱海涛,魏涛,王宏利,北京市
1189,600059.SH,孙爱保,徐东良,吴晓钧,绍兴市
1190,600135.SH,王洪泽,路建波,张永光,保定市
1191,600136.SH,易仁涛,闫爱华,高维,武汉市
1192,600137.SH,翁荣弟,翁荣弟,马中明,宜宾市
1193,600138.SH,康国明,邱文鹤,范思远,北京市
1194,600139.SH,石学松,,王娜,绵阳市
1195,600235.SH,曹继华,曹继华,姚名欢,嘉兴市
1196,600236.SH,刘广迎,李凯,吴育双,南宁市
1197,600237.SH,黄明强,鲍俊华,李骏,铜陵市
1198,600238.SH,冯彪,冯彪,杨鹏,海口市
1199,600239.SH,李家龙,孔薇然,李映红,昆明市
1200,600240.SH,余威,钟欣,刘奕莹,北京市
1201,600982.SH,马奕飞,诸南虎,夏雪玲,宁波市
1202,300674.SZ,洪卫东,洪卫东,戴士平,北京市
1203,600984.SH,杨宏军,李长安,白海红,西安市
1204,688599.SH,高纪凡,高纪凡,吴群,常州市
1205,600060.SH,程开训,于芝涛,夏峰,青岛市
1206,600061.SH,叶柏寿,李樱,姚肇欣,上海市
1207,600062.SH,于顺廷,于顺廷,范彦喜,北京市
1208,600063.SH,吴福胜,孙先武,吴尚义,合肥市
1209,600064.SH,徐益民,陆阳俊,谢建晖,南京市
1210,600141.SH,李国璋,舒龙,鲍伯颖,宜昌市
1211,600145.SH,卡司木江.吾斯曼,卡司木江.吾斯曼,,塔城地区
1212,600146.SH,钱安,朱方明,陈婷,银川市
1213,600148.SH,高汝森,孟庆洪,周勇,长春市
1214,600149.SH,王大为,曹玫,张春岭,廊坊市
1215,600241.SH,李军,,庄绍英,大连市
1216,600242.SH,厉群南,何东,厉群南,阳江市
1217,600243.SH,于世光,于世光,李祥军,西宁市
1218,600246.SH,王忆会,张家静,匡娜,北京市
1219,600247.SH,方项,申方文,赖淑婷,吉林市
1220,002181.SZ,张强,张强,朱萝伊,广州市
1221,605005.SH,陈文葆,蔡庆明,周汝中,温州市
1222,002976.SZ,陈晓敏,陈晓敏,方友平,苏州市
1223,603303.SH,倪强,杜国红,陈仕勇,金华市
1224,600065.SH,王庆明,王庆明,吴硕,大庆市
1225,600066.SH,汤玉祥,汤玉祥,于莉,郑州市
1226,600067.SH,韩孝煌,韩孝捷,余坦锋,福州市
1227,600068.SH,陈晓华,宋领,鲁中年,武汉市
1228,600069.SH,孟飞,孟飞,姚华,漯河市
1229,600151.SH,张建功,荆怀靖,万潞,上海市
1230,600152.SH,何承命,杨东文,薛春林,宁波市
1231,600153.SH,郑永达,林茂,江桂芝,厦门市
1232,600150.SH,张英岱,季峻,陶健,上海市
1233,600248.SH,张义光,张义光,康宇麟,咸阳市
1234,600250.SH,徐德健,丁益兵,张金源,南京市
1235,600252.SH,焦明,蒋神州,焦明,梧州市
1236,600253.SH,年大明,李富志,刘宁宇,驻马店市
1237,600255.SH,宋志刚,,张龙,芜湖市
1238,688157.SH,凌云剑,凌云剑,伍俊芸,长沙市
1239,603595.SH,沈晓宇,沈晓宇,罗斌斌,湖州市
1240,600070.SH,赵林中,江有归,张玉兰,绍兴市
1241,600071.SH,陈宗年,刘翔,谢会超,上饶市
1242,600072.SH,周辉,周辉,黄来和,上海市
1243,600073.SH,吴坚,,何茹,上海市
1244,600074.SH,丁立红,蒋建平,丁立红,南京市
1245,600155.SH,陶永泽,张小艾,巫兰,北京市
1246,600156.SH,肖群锋,刘国华,肖群锋,长沙市
1247,600157.SH,王广西,窦红平,李军,晋中市
1248,600158.SH,王卫东,单铁,许宁宁,天津市
1249,600159.SH,马云虎,范学朋,李铁,北京市
1250,600160.SH,周黎旸,韩金铭,刘云华,衢州市
1251,600256.SH,林发现,韩士发,倪娟,乌鲁木齐市
1252,600257.SH,罗订坤,罗订坤,张园美,常德市
1253,600258.SH,白凡,孙坚,段中鹏,北京市
1254,600259.SH,吴泽林,刘聪,赵学超,海口市
1255,603063.SH,韩玉,韩玉,刘济洲,深圳市
1256,300926.SZ,伍亚林,伍亚林,李晶,苏州市
1257,300737.SZ,陈伟忠,方勇,毕双喜,佛山市
1258,600075.SH,宋晓玲,关刚,李刚,石河子市
1259,600076.SH,邵建东,郭志先,牟儆,潍坊市
1260,600077.SH,俞建午,俞建午,郑羲亮,杭州市
1261,600078.SH,江永康,王国忠,韦莉,无锡市
1262,600079.SH,李杰,邓霞飞,李前伦,武汉市
1263,600161.SH,付道兴,付道兴,慈翔,北京市
1264,600162.SH,翟美卿,翟美卿,吴光辉,深圳市
1265,600163.SH,张骏,王坊坤,段静静,南平市
1266,600165.SH,高小平,陈瑞,张宝林,石嘴山市
1267,600166.SH,巩月琼,常瑞,龚敏,北京市
1268,300925.SZ,严华,严华,黄照程,深圳市
1269,688011.SH,康为民,康为民,王玉伟,哈尔滨市
1270,601609.SH,楼国强,楼城,丁星驰,宁波市
1271,605376.SH,王利平,陈钢强,蒋颖,宿迁市
1272,002825.SZ,游爱国,马继戟,游爱军,上海市
1273,600080.SH,张朝阳,韩卓军,,西安市
1274,600081.SH,陈兴林,江川,天涯,上海市
1275,600082.SH,任宇,任宇,李刚,天津市
1276,600083.SH,王伟,林泽杭,朱洁,苏州市
1277,600084.SH,李向禹,苏斌,侯伟,乌鲁木齐市
1278,600167.SH,苏壮强,朱昌一,刘思生,沈阳市
1279,600168.SH,黄思,曹明,李凯,武汉市
1280,600169.SH,韩珍堂,陶家晋,韩珍堂,太原市
1281,600170.SH,徐征,卞家骏,李胜,上海市
1282,600171.SH,马玉川,秦毅,周承捷,上海市
1283,600172.SH,庞文龙,陈治强,袁超峰,许昌市
1284,300776.SZ,李志刚,李志刚,刘志波,武汉市
1285,002510.SZ,任伟,任伟,任伟,天津市
1286,600085.SH,高振坤,邸淑兵,贾泽涛,北京市
1287,600086.SH,张文风,张文风,张文风,鄂州市
1288,601975.SH,张保良,周斌,曾善柱,南京市
1289,600088.SH,唐世鼎,王钧,贺芳,上海市
1290,600173.SH,陈嫣妮,王希全,马亚军,绍兴市
1291,600175.SH,闻掌华,闻掌华,沈旭涛,湖州市
1292,600176.SH,曹江林,张毓强,李畅,嘉兴市
1293,600177.SH,李如成,李寒穷,刘新宇,宁波市
1294,600178.SH,陈笠宝,杨宝全,王江华,哈尔滨市
1295,603466.SH,李晖,陈礼文,李成,上海市
1296,300830.SZ,黎峰,周建朋,鲁效停,济南市
1297,002709.SZ,徐金富,徐金富,韩恒,广州市
1298,002663.SZ,曾伟雄,曾伟雄,刘昕霞,广州市
1299,600089.SH,张新,黄汉杰,焦海华,昌吉回族自治州
1300,600090.SH,张美华,李青,张美华,乌鲁木齐市
1301,600091.SH,李国春,李国春,关明,包头市
1302,600092.SH,焦平,,葛熙富,西安市
1303,600093.SH,杨复兴,吴江,薛鹏,昆明市
1304,600179.SH,王经文,王经文,荣兴,齐齐哈尔市
1305,600180.SH,李群立,路明多,张菊芳,烟台市
1306,600181.SH,方瑞斌,李畅鸿,王薇佳,昆明市
1307,600182.SH,李怀靖,钱倍奋,邬晓芳,牡丹江市
1308,600183.SH,刘述峰,陈仁喜,唐芙云,东莞市
1309,600185.SH,鲁君四,林强,邹超,珠海市
1310,688335.SH,黄文俊,曲献伟,李文静,上海市
1311,300671.SZ,刘景裕,刘景裕,罗琼,深圳市
1312,300633.SZ,陈志强,吴坤祥,李浩,深圳市
1313,603168.SH,鄢标,胡建辉,温玄,嘉兴市
1314,605177.SH,池正明,池正明,徐志坚,台州市
1315,600094.SH,俞锦,俞锦,张燕琦,上海市
1316,600095.SH,史建明,蒋军,黄海伦,哈尔滨市
1317,600096.SH,段文瀚,崔周全,钟德红,昆明市
1318,600097.SH,谢峰,吴昔磊,汪涛,上海市
1319,600098.SH,伍竹林,吴旭,吴宏,广州市
1320,600186.SH,王维法,韩安道,罗贤辉,周口市
1321,600187.SH,尹峻,丁宏伟,庄建龙,哈尔滨市
1322,600188.SH,李希勇,刘健,靳庆彬,济宁市
1323,600189.SH,姜长龙,王尽晖,时军,长春市
1324,688408.SH,蔡浩,蔡浩,郑海鹏,苏州市
1325,300613.SZ,杨小奇,杨小奇,冯小军,上海市
1326,300775.SZ,严建亚,虢迎光,杨伟杰,西安市
1327,688687.SH,周德胜,周德胜,赫崇飞,北京市
1328,601886.SH,刘载望,许兴利,刘飞宇,北京市
1329,600099.SH,孙峰,陈文龙,李鹏鹏,泰州市
1330,600100.SH,黄敏刚,胡军,张健,北京市
1331,600101.SH,王更生,向道泉,雷斌,遂宁市
1332,600102.SH,陈启祥,罗登武,闵宪金,济南市
1333,600103.SH,张小强,林小河,潘其星,福州市
1334,600190.SH,徐健,刘辉,李桂萍,锦州市
1335,600191.SH,宋卫东,赵建忠,李怀庆,包头市
1336,600192.SH,张志明,郭满元,张启龙,兰州市
1337,600193.SH,顾简兵,阙江阳,骆骏骎,上海市
1338,600195.SH,王建成,吴冬荀,郭亮,北京市
1339,603848.SH,沈汉标,王妙玉,李翔,广州市
1340,300497.SZ,包建华,乔晓光,黄晓东,景德镇市
1341,002907.SZ,游洪涛,刘小英,游雪丹,重庆市
1342,600104.SH,陈虹,王晓秋,陈晓东,上海市
1343,600105.SH,莫思铭,莫思铭,张国栋,苏州市
1344,600106.SH,江津,谷安东,张漫,重庆市
1345,600107.SH,陈京南,陈京南,褚圆圆,黄石市
1346,600108.SH,李克恕,牛济军,王杰,兰州市
1347,600196.SH,吴以芳,关晓晖,董晓娴,上海市
1348,600197.SH,陈智,陈双英,君洁,伊犁哈萨克自治州
1349,600198.SH,黄志勤,雷信生,王韶莉,北京市
1350,600199.SH,贾光明,张向阳,金彪,阜阳市
1351,600200.SH,钱群英,钱群英,顾铁军,苏州市
1352,688007.SH,薄连明,薄连明,严莉,深圳市
1353,688136.SH,邓学勤,赵彦轻,王小琴,济南市
1354,688393.SH,蔡向挺,蔡向挺,杨志燎,广州市
1355,601658.SH,张金良,张学文,杜春野,北京市
1356,600000.SH,郑杨,潘卫东,谢伟,上海市
1357,600001.SH,李贵阳,张延卿,陈占军,邯郸市
1358,600002.SH,张瑞生,王浩水,李风安,淄博市
1359,600109.SH,冉云,金鹏,周洪刚,成都市
1360,600110.SH,陈立志,许松青,李鹏程,长春市
1361,600111.SH,李金玲,瞿业栋,余英武,包头市
1362,600112.SH,高健,高健,高健,遵义市
1363,600113.SH,杨作军,杨澄宇,谢小磊,温州市
1364,600202.SH,刘铭山,毕海涛,展学峰,哈尔滨市
1365,600203.SH,卞志航,杨韬,吴智飞,福州市
1366,600205.SH,刘兴亮,金永静,王国忠,淄博市
1367,600206.SH,熊柏青,王兴权,杨海,北京市
1368,600201.SH,张翀宇,张竞,杨钊,呼和浩特市
1369,300638.SZ,张天瑜,应凌鹏,陈仕江,深圳市
1370,688229.SH,李凯,冯云彪,李新建,北京市
1371,600005.SH,马国强,邹继新,李海涛,武汉市
1372,600006.SH,赵书良,李军智,张斌,襄阳市
1373,600007.SH,林明志,吴相仁,王京京,北京市
1374,600008.SH,刘永政,杨斌,邵丽,北京市
1375,600009.SH,莘澍钧,胡稚鸿,黄晔,上海市
1376,600003.SH,孙熠嵩,韩增义,戴琦,长春市
1377,600115.SH,刘绍勇,李养民,汪健,上海市
1378,600116.SH,叶建桥,周泽勇,车亚平,重庆市
1379,600117.SH,尹良求,王青海,熊俊,西宁市
1380,600118.SH,张洪太,葛玉君,万银娟,北京市
1381,600207.SH,何毅敏,陈志刚,毛子炜,安阳市
1382,600208.SH,林俊波,赵伟卿,虞迪锋,嘉兴市
1383,600209.SH,张雪南,杨柳,唐健俊,海口市
1384,600210.SH,沈雯,郭峰,高军,上海市
1385,600211.SH,陈达彬,郭远东,刘岚,拉萨市
1386,688557.SH,吴耀华,张小艺,董新军,济南市
1387,600962.SH,杜仁堂,张继明,金晶,北京市
1388,600143.SH,袁志敏,李南京,戴耀珊,广州市
1389,603527.SH,封全虎,陶俊兵,奚海波,芜湖市
1390,600010.SH,刘振刚,李晓,白宝生,包头市
1391,600011.SH,赵克宇,赵平,黄朝全,北京市
1392,600016.SH,高迎欣,郑万春,白丹,北京市
1393,600019.SH,邹继新,盛更红,王娟,上海市
1394,600119.SH,鲁国锋,李乐,施嶔宇,上海市
1395,600120.SH,金朝萍,徐晓东,何欣,杭州市
1396,600121.SH,于泽阳,张海洋,陈晓燕,郑州市
1397,600122.SH,廖帆,廖帆,许娜,南京市
1398,600212.SH,赵彤宇,翟宝星,张谦,临沂市
1399,600213.SH,李树朋,董长江,盛卫宁,扬州市
1400,600215.SH,吴锦华,倪伟勇,潘笑盈,长春市
1401,600216.SH,李春波,吕春雷,叶伟东,绍兴市
1402,600217.SH,孔庆凯,李涛,朱连升,铜川市
1403,600218.SH,谢力,徐玉良,徐明余,滁州市
1404,601778.SH,李仙德,金锐,常阳,上饶市
1405,600028.SH,张玉卓,马永生,黄文生,北京市
1406,600033.SH,陈岳峰,程辛钱,何高文,福州市
1407,600036.SH,缪建民,田惠宇,刘建军,深圳市
1408,600037.SH,郭章鹏,卢东涛,韩霁凯,北京市
1409,600123.SH,李晓明,李晓明,苗伟,晋城市
1410,600125.SH,辛明,辛明,畅晓东,大连市
1411,600126.SH,吴东明,牟晨晖,吴继华,杭州市
1412,600127.SH,全臻,陈伟,陈绍红,常德市
1413,600128.SH,马宏伟,姜琳,姜琳,南京市
1414,600219.SH,程仁策,吕正风,隋冠男,烟台市
1415,600220.SH,陈丽芬,陈丽芬,赵静,无锡市
1416,600221.SH,刘位精,马志敏,李晓峰,海口市
1417,600222.SH,李景亮,罗剑超,冯海燕,郑州市
1418,600223.SH,赵衍峰,张全立,李璐,淄博市
1419,688559.SH,赵盛宇,赵盛宇,钱智龙,深圳市
1420,600981.SH,陈述,陈述,陆备,南京市
1421,688388.SH,廖平元,廖平元,叶敬敏,梅州市
1422,600022.SH,王向东,吕铭,金立山,济南市
1423,600051.SH,李水荣,王维和,董庆慈,宁波市
1424,600052.SH,张霞,张霞,张霞,金华市
1425,600053.SH,康青山,康青山,易凌杰,南昌市
1426,600054.SH,章德辉,陶平,丁维,黄山市
1427,600038.SH,王学军,甘立伟,刘秉钧,哈尔滨市
1428,600055.SH,谢宇峰,谢宇峰,任志林,北京市
1429,600129.SH,李阳春,袁永红,蒋茜,重庆市
1430,600130.SH,徐立华,张樟铉,马思甜,宁波市
1431,600131.SH,杨树,倪平波,肖劲松,阿坝藏族羌族自治州
1432,600132.SH,Roland Arthur Lawrence,Lee Chee Kong,邓炜,重庆市
1433,600133.SH,杨涛,王玮,段静,武汉市
1434,600225.SH,阎鹏,刘新林,阎鹏,天津市
1435,600226.SH,朱礼静,朱礼静,郭小琴,湖州市
1436,600227.SH,丁林洪,丁林洪,先正红,贵阳市
1437,600228.SH,卢岐,李季,陈明,赣州市
1438,600229.SH,王为达,杨延亮,张以涛,青岛市
1439,600523.SH,唐海滨,,孙冬云,贵阳市
1440,600528.SH,易铁军,李建斌,余赞,北京市
1441,600530.SH,周传有,王昕晨,徐敬云,上海市
1442,600533.SH,江劲松,江劲松,王海刚,南京市
1443,600536.SH,陈锡明,符兴斌,陈复兴,北京市
1444,600539.SH,赵冬梅,赵冬梅,巩固,太原市
1445,600634.SH,蔡云华,蔡云华,,上海市
1446,600635.SH,杨国平,梁嘉玮,金波,上海市
1447,600636.SH,王志学,姚勇,刘登华,上海市
1448,600637.SH,王建军,徐辉,嵇绯绯,上海市
1449,600638.SH,赵峥嵘,陆却非,徐俊,上海市
1450,600747.SH,王小琴,,汪佳佳,大连市
1451,600748.SH,曾明,徐晓冰,曾明,上海市
1452,600749.SH,赵金峰,胡锋,郝军,拉萨市
1453,600750.SH,卢小青,蔡新平,田永静,南昌市
1454,600746.SH,胡宗贵,马克和,范国林,镇江市
1455,600751.SH,李维艰,朱勇,姜涛,天津市
1456,600321.SH,何延龙,谢苏明,苗鹏龙,成都市
1457,600322.SH,郭维成,杨宾,张亮,天津市
1458,600323.SH,金铎,金铎,汤玉云,佛山市
1459,600326.SH,多吉罗布,邱波,西虹,拉萨市
1460,600328.SH,李德禄,周杰,陈云泉,阿拉善盟
1461,600639.SH,王颖,汤文侃,严少云,上海市
1462,600640.SH,李安民,陈之超,李培忠,上海市
1463,600641.SH,朱旭东,刘荣明,周伟芳,上海市
1464,600642.SH,倪斌,奚力强,谢峰,上海市
1465,600643.SH,王均金,蒋海龙,侯学东,上海市
1466,600644.SH,林双庆,乔向东,王迅,乐山市
1467,600668.SH,蒋晓萌,虞建红,朱坚卫,金华市
1468,600669.SH,黄云斌,韩雪鹏,汪思来,鞍山市
1469,600670.SH,袁晨亮,何菊初,姜岩,长春市
1470,600671.SH,李祖岳,李祖岳,李祖岳,杭州市
1471,600672.SH,吴裕庆,陈广佳,林敏,深圳市
1472,600673.SH,张红伟,李义涛,王文钧,韶关市
1473,600752.SH,李东涛,郭泽鹏,郭泽鹏,伊春市
1474,600753.SH,梁衍锋,夏建丰,姚米娜,福州市
1475,600754.SH,俞敏亮,张晓强,胡暋,上海市
1476,600755.SH,许晓曦,高少镛,范丹,厦门市
1477,600756.SH,陈东风,陈东风,王亚飞,泰安市
1478,600329.SH,李立群,李颜,焦艳,天津市
1479,600330.SH,潘建清,郑晓彬,冯燕青,嘉兴市
1480,600331.SH,黄建军,黄建军,王延俊,德阳市
1481,600332.SH,李楚源,黎洪,黄雪贞,广州市
1482,600645.SH,王勇,王勇,杨新喆,天津市
1483,600646.SH,辜勤华,罗庆发,辜勤华,上海市
1484,600647.SH,牟柏强,胡俊鹏,薛玉宝,上海市
1485,600648.SH,刘宏,俞勇,张舒娜,上海市
1486,600649.SH,戴光铭,陈晓波,俞有勤,上海市
1487,600650.SH,张晓强,朱虔,沈贇,上海市
1488,600674.SH,刘体斌,杨洪,龚圆,成都市
1489,600675.SH,朱嘉骏,王政,印学青,上海市
1490,600676.SH,郑元湖,朱戟敏,徐以刚,上海市
1491,600677.SH,余德海,余德海,吴从曙,杭州市
1492,600678.SH,熊记锋,熊记锋,杨业,乐山市
1493,600757.SH,陈义国,邱菊生,冷雪,武汉市
1494,600758.SH,郭洪波,李长贵,韩健,沈阳市
1495,600759.SH,陈焕龙,陈焕龙,万巍,海口市
1496,600760.SH,钱雪松,邢一新,刘预,威海市
1497,600761.SH,张德进,薛白,张孟青,合肥市
1498,600762.SH,肖文波,肖文波,王剑军,衡阳市
1499,600763.SH,吕建明,王毅,张华,杭州市
1500,600333.SH,张志超,梁永祥,孙树怀,长春市
1501,600335.SH,陈有权,彭原璞,赵建国,天津市
1502,600336.SH,李蔚,张斌,王英峰,青岛市
1503,600337.SH,寇卫平,牟莉,黄新,乌鲁木齐市
1504,600338.SH,黄建荣,王喜兵,胡晗东,拉萨市
1505,600651.SH,李鑫,金新,雷霓霁,上海市
1506,600652.SH,谢鹏,谢鹏,许鹿鹏,上海市
1507,600653.SH,李晓航,李晓航,张鑫,沈阳市
1508,600654.SH,吴博文,吴博文,李凯,上海市
1509,600655.SH,黄震,黄震,蒋伟,上海市
1510,600656.SH,许佳明,刘梅,许佳明,珠海市
1511,600679.SH,周永超,郭建新,刘峰,上海市
1512,600680.SH,赵威,赵威,赵威,上海市
1513,600681.SH,王东海,傅志峰,韩啸,武汉市
1514,600682.SH,翟凌云,张轩,许光兴,南京市
1515,600683.SH,魏怡,高一轩,贾卫平,宁波市
1516,600770.SH,昝圣达,杨朦,顾政巍,南通市
1517,600771.SH,张斌,张斌,唐云,晋中市
1518,600772.SH,赵伟文,朱烨,戴伊雯,上海市
1519,600773.SH,朱贤麟,曾云,刘颖,拉萨市
1520,600774.SH,阎志,杨芳,胡舒文,武汉市
1521,600339.SH,白玉光,赵玉建,于国锋,克拉玛依市
1522,600345.SH,熊向峰,熊向峰,梅勇,武汉市
1523,600346.SH,范红卫,范红卫,李峰,大连市
1524,600350.SH,赛志毅,吕思忠,隋荣昌,济南市
1525,600356.SH,徐祥,李迎春,刘新欢,牡丹江市
1526,600358.SH,曾少雄,彭承,赵扬,南京市
1527,600657.SH,赵立民,,陈戈,北京市
1528,600658.SH,王岩,龚晓青,吕延强,北京市
1529,600659.SH,黄文义,李胜,黄文义,本溪市
1530,600660.SH,曹德旺,叶舒,李小溪,福州市
1531,600661.SH,周传有,周传有,杨夏,上海市
1532,600662.SH,叶章毅,王淙谷,刘红威,上海市
1533,600684.SH,张研,答恒诚,覃宪姬,广州市
1534,600685.SH,韩广德,陈利平,李志东,广州市
1535,600686.SH,陈建业,吴文彬,刘湘玫,厦门市
1536,600687.SH,邓庆生,魏成臣,张盛旺,兰州市
1537,600688.SH,吴海君,管泽民,黄飞,上海市
1538,600764.SH,范国平,,夏军成,北京市
1539,600765.SH,姬苏春,冉兴,姬苏春,贵阳市
1540,600766.SH,徐成义,郝周明,牟赛英,烟台市
1541,600767.SH,王熙,王熙,刘婧,成都市
1542,600768.SH,陈炜,宋凌杰,魏会兵,宁波市
1543,600769.SH,董耀军,董耀军,王凤娟,武汉市
1544,600359.SH,白宏本,唐建国,吴天昊,阿拉尔市
1545,600360.SH,夏增文,于胜东,夏增文,吉林市
1546,600361.SH,陈琳,陈琳,李春生,北京市
1547,600362.SH,郑高清,郑高清,郑高清,鹰潭市
1548,600663.SH,李晋昭,李晋昭,王辉,上海市
1549,600664.SH,徐海瑛,徐海瑛,孟晓东,哈尔滨市
1550,600665.SH,袁旺家,王涛,刘宇,西安市
1551,600666.SH,杨鑫宏,霍光,梁影,哈尔滨市
1552,600667.SH,赵振元,孙鸿伟,孙大伟,无锡市
1553,600689.SH,邹宁,刘杰,周志宇,上海市
1554,600690.SH,梁海山,李华刚,明国珍,青岛市
1555,600691.SH,冯志武,朱壮瑞,高峰杰,阳泉市
1556,600692.SH,梁峻,朱刚,雷煊,上海市
1557,600260.SH,朱弟雄,朱俊霖,韩平,荆州市
1558,600261.SH,陈卫,官勇,赵芳华,绍兴市
1559,600262.SH,李军,邬青峰,常德明,包头市
1560,600263.SH,毛志远,杨思民,郑凯,北京市
1561,600265.SH,许琳,吴昱,王秀平,昆明市
1562,600266.SH,陈代华,储昭武,张财广,北京市
1563,600363.SH,曾智斌,李中煜,高永红,南昌市
1564,600365.SH,尹红,何为民,洪恩杰,通化市
1565,600366.SH,竺晓东,竺晓东,项超麟,宁波市
1566,600367.SH,郭汉光,梁启波,万洋,安顺市
1567,600368.SH,周异助,张毅,黄英强,南宁市
1568,600369.SH,廖庆轩,WU JIAN(吴坚),李军,重庆市
1569,600548.SH,胡伟,廖湘文,龚涛涛,深圳市
1570,600550.SH,文洪,刘淑娟,张继承,保定市
1571,600556.SH,李檬,李檬,于悦,北海市
1572,600558.SH,李欣雨,张晓柏,曹铭,自贡市
1573,600566.SH,曹龙祥,曹飞,曹伟,荆州市
1574,600693.SH,施文义,施文义,郑飚,福州市
1575,600694.SH,牛钢,田德斌,汪晖,大连市
1576,600695.SH,龙炼,龙炼,杨雪峰,上海市
1577,600696.SH,陈琪,高利风,孙文,上海市
1578,600697.SH,曹和平,邹德东,苏焱,长春市
1579,600267.SH,蒋国平,李琰,沈锡飞,台州市
1580,600268.SH,王凤蛟,经海林,解宏松,南京市
1581,600269.SH,王国强,李诺,付艳,南昌市
1582,600270.SH,高伟,高伟,王晓征,北京市
1583,600275.SH,高士庆,樊国红,高士庆,鄂州市
1584,600372.SH,张昆辉,于卓,张力,北京市
1585,600373.SH,赵东亮,吴涤,毛剑波,上饶市
1586,600376.SH,李岩,,王怡,北京市
1587,600377.SH,孙悉斌,成晓光,姚永嘉,南京市
1588,600378.SH,胡冬晨,杨茂良,刘政良,成都市
1589,600567.SH,吴明武,吴明武,石春茂,马鞍山市
1590,600568.SH,叶继革,,张卫滨,潜江市
1591,600569.SH,李利剑,于银俊,李志锋,安阳市
1592,600578.SH,耿养谋,金生祥,樊俊杰,北京市
1593,600699.SH,王剑峰,王剑峰,喻凯,宁波市
1594,600700.SH,李键,汪欢,汪欢,西安市
1595,600701.SH,任会云,任会云,周雪晶,哈尔滨市
1596,600702.SH,蒲吉洲,蒲吉洲,张伟,遂宁市
1597,600703.SH,林志强,林科闯,李雪炭,荆州市
1598,600698.SH,黄毅,胡辽平,刘青娥,衡阳市
1599,600276.SH,周云曙,周云曙,刘笑含,连云港市
1600,600277.SH,王文彪,王钟涛,侯菁慧,鄂尔多斯市
1601,600278.SH,朱继东,李捷,陈乃轶,上海市
1602,600279.SH,杨昌学,,张强,重庆市
1603,600379.SH,刘武周,胡唯,原瑞涛,宝鸡市
1604,600380.SH,朱保国,俞雄,赵凤光,深圳市
1605,600381.SH,张雪峰,张雪峰,陈定,西宁市
1606,600382.SH,彭胜,张文东,欧阳璟,梅州市
1607,600383.SH,凌克,黄俊灿,徐家俊,深圳市
1608,600582.SH,胡善亭,张林,范建,北京市
1609,600583.SH,于毅,王章领,刘连举,天津市
