,TS代码,法人代表,总经理,董秘,城市
106,002820.SZ,李铭祥,李铭祥,黄靓雅,天津市
107,688005.SH,白厚善,刘相烈,张媛,宁波市
108,300610.SZ,于子洲,于子洲,吴达明,扬州市
109,601298.SH,贾福宁,王新泽,刘永霞,青岛市
110,688521.SH,戴伟民,戴伟民,施文茜,上海市
111,300228.SZ,黄锋,黄锋,李欣,苏州市
112,300432.SZ,藤明波,阳宇,黎昌军,绵阳市
113,002787.SZ,李炳兴,张辛易,邵娜,苏州市
114,603908.SH,陆暾华,陆暾华,王潘祺,衢州市
115,300709.SZ,王明喜,王明喜,黄逸超,常州市
116,300291.SZ,方刚,方刚,李倩,北京市
117,002757.SZ,詹谏醒,詹任宁,杨建林,东莞市
118,002884.SZ,王海波,王海波,刘子庚,阳江市
119,300155.SZ,张波,张波,黄伟宁,广州市
120,300534.SZ,康海军,康永红,元勤辉,兰州市
121,002867.SZ,周宗文,周宗文,何小林,深圳市
122,603698.SH,唐国宏,姜从斌,徐京辉,北京市
123,603657.SH,陈正明,陈凯,王胜永,金华市
124,688256.SH,陈天石,陈天石,叶淏尹,北京市
125,300548.SZ,朱伟,朱伟,郑志新,嘉兴市
126,601798.SH,解庆,吕志辉,李旭杨,兰州市
127,603369.SH,周素明,顾祥悦,王卫东,淮安市
128,603031.SH,夏柱兵,余斌,王成,合肥市
129,601100.SH,汪立平,邱永宁,张小芳,常州市
130,688085.SH,徐农,徐农,范湘龙,上海市
131,300733.SZ,魏晓林,魏晓林,杨浩,成都市
132,002648.SZ,杨卫东,杨卫东,沈晓炜,嘉兴市
133,603081.SH,丰华,丰华,谢文杰,宁波市
134,002885.SZ,张立品,鞠万金,窦晓月,深圳市
135,002640.SZ,徐佳东,徐佳东,徐佳东,太原市
136,002708.SZ,李树华,吴朝阳,吴朝阳,常州市
137,688126.SH,俞跃辉,Chiu Tzu-Yin(邱慈云),李炜,上海市
138,300795.SZ,潘建军,方欢胜,姚宗宪,杭州市
139,603015.SH,熊钰麟,熊明慧,郑琴,宁波市
140,603833.SH,姚良松,姚良松,杨耀兴,广州市
141,688579.SH,李庆忠,郑永清,赵永光,济南市
142,300227.SZ,侯若洪,侯若洪,张洪宇,深圳市
143,603067.SH,蔡再华,柯愈胜,陈前炎,黄石市
144,688088.SH,邓晖,邓晖,蒿惠美,杭州市
145,002620.SZ,胡正富,胡正富,陈延,深圳市
146,300488.SZ,陈尔容,陈子彦,陈子怡,嘉兴市
147,002655.SZ,谢冠宏,傅爱善,李光强,潍坊市
148,300438.SZ,夏信德,甄少强,鲁宏力,广州市
149,300663.SZ,王安京,王安京,周旭红,北京市
150,300500.SZ,查金荣,查金荣,华亮,苏州市
151,300220.SZ,梁萍,梁萍,李丹,武汉市
152,300767.SZ,李涛,李涛,龙云刚,昆明市
153,300596.SZ,李海平,孙春光,张春平,天津市
154,601601.SH,孔庆伟,傅帆,马欣,上海市
155,605088.SH,周家儒,周家儒,刘海强,温州市
156,300283.SZ,陈晓,陈晓,严学文,温州市
157,603131.SH,舒宏瑞,舒振宇,刘睿,上海市
158,601611.SH,李晓明,徐晓明,高金柱,上海市
159,300858.SZ,刘晓军,刘晓军,张凌宇,北京市
160,603177.SH,金猛,赵博,刘飞,绍兴市
161,603719.SH,杨红春,杨银芬,徐然,武汉市
162,300561.SZ,陈喆,陈喆,孙玉玲,珠海市
163,601500.SH,顾萃,程金元,卞亚波,无锡市
164,002602.SZ,王苗通,王一锋,郦冰洁,绍兴市
165,603328.SH,李永胜,李永胜,林海,中山市
166,688077.SH,熊永飞,熊永飞,董学春,合肥市
167,300285.SZ,张曦,张兵,许少梅,东营市
168,002835.SZ,郭立志,郭立志,谷宁,深圳市
169,688029.SH,隆晓辉,冷德嵘,龚星亮,南京市
170,002575.SZ,张金成,张金成,胡明珠,汕头市
171,002543.SZ,叶远璋,卢宇聪,卢宇凡,佛山市
172,300607.SZ,吴丰礼,吴丰礼,全衡,东莞市
173,300817.SZ,周引春,周引春,浦四金,嘉兴市
174,603053.SH,罗龙,杨平,熊莉娜,成都市
175,300385.SZ,胡建民,胡建民,汪崇标,无锡市
176,603711.SH,蒋建琪,蒋建琪,邹勇坚,湖州市
177,603088.SH,郑良才,李永坚,刘明君,宁波市
178,603302.SH,黄尚渭,蔡水源,卢海兰,烟台市
179,300422.SZ,宋海农,宋海农,李成琪,南宁市
180,603050.SH,张成锁,屈国旺,宋建玲,石家庄市
181,603708.SH,王培桓,王培桓,周承生,威海市
182,603843.SH,甘迎新,甘迎新,马富昕,西宁市
183,002781.SZ,张浪平,叶洪孝,何定涛,深圳市
184,300853.SZ,陈如申,黎勇跃,蔡禄,杭州市
185,601568.SH,刘国强,刘延财,刘建国,榆林市
186,605399.SH,丁建峰,丁冰,梁秋鸿,九江市
187,002938.SZ,沈庆芳,陈章尧,周红,深圳市
188,688108.SH,孙箭华,孙箭华,黄凯,天津市
189,688129.SH,朱忠敏,朱忠敏,苏爽,上海市
190,300597.SZ,周伟,夏锡刚,耿燕,长春市
191,605100.SH,徐华东,徐华东,王宏霞,潍坊市
192,603203.SH,戚国强,戚国强,苗小鸣,常州市
193,300839.SZ,王律,王律,尤丹红,宁波市
194,300700.SZ,段志明,段志勇,周家华,长沙市
195,300685.SZ,LI-MOU ZHENG,罗捷敏,陈英,厦门市
196,688135.SH,黄江,张亦锋,辜诗涛,东莞市
197,605318.SH,沈正华,沈正华,王勤峰,嘉兴市
198,688090.SH,孙志强,孙志强,陈雅依,广州市
199,300703.SZ,任召国,邓建军,赵雅,宁波市
200,688677.SH,郑安民,郑耀,汪方华,青岛市
201,002887.SZ,祁永,祁永,冯佳,天津市
202,300879.SZ,叶晓波,叶晓波,吴军,宁波市
203,300841.SZ,王清瀚,王清瀚,唐名太,成都市
204,300719.SZ,赵子安,赵子安,杜筱晨,北京市
205,603139.SH,王延岭,王延岭,杨瑾,咸阳市
206,688010.SH,何文波,何文波,黄健,福州市
207,688218.SH,朱振友,朱振友,朱振友,苏州市
208,688556.SH,张顼,张秀涛,尚华,青岛市
209,002983.SZ,彭友,彭友,唐先胜,合肥市
210,688378.SH,轩景泉,轩景泉,王艳丽,长春市
211,300787.SZ,周洪亮,周洪亮,韩双,吉安市
212,002927.SZ,黄正乾,黄正乾,余辉,遵义市
213,300696.SZ,范庆新,杨有新,陈苗,成都市
214,688050.SH,解江冰,解江冰,王韶华,北京市
215,603823.SH,陈立荣,陈立荣,王迪明,杭州市
216,002960.SZ,蔡为民,卢文浩,张黔山,张家口市
217,300742.SZ,李占江,李占江,钟孟光,南京市
218,603439.SH,张海,张海,张千帆,安顺市
219,688526.SH,陈焕春,陈慕琳,陈慕琳,武汉市
220,603458.SH,漆贵荣,漆贵荣,黄国建,贵阳市
221,300902.SZ,洪伟艺,洪伟艺,连剑生,厦门市
222,300679.SZ,陈育宣,陈育宣,聂成文,深圳市
223,002977.SZ,楼继勇,陈镭,王艳,成都市
224,002952.SZ,贾继涛,贾继涛,边瑞群,鞍山市
225,688068.SH,林长青,林长青,石永沾,北京市
226,603319.SH,许仲秋,许仲秋,陈湘军,衡阳市
227,601628.SH,王滨,苏恒轩,利明光,北京市
228,688309.SH,牛斌,牛斌,钟穗丽,济南市
229,688006.SH,曹骥,曹骥,傅风华,杭州市
230,601838.SH,王晖,王涛,罗铮,成都市
231,601997.SH,张正海,夏玉琳,董静,贵阳市
232,600926.SH,陈震山,宋剑斌,毛夏红,杭州市
233,300894.SZ,黄卫斌,黄卫斌,毛伟平,嘉兴市
234,603517.SH,戴文军,戴文军,彭刚毅,长沙市
235,601099.SH,李长伟,李长伟,唐卫华,昆明市
236,300949.SZ,李宝章,李方悦,陶丽悯,深圳市
237,002975.SZ,王兆春,陈均,张洪强,珠海市
238,002061.SZ,邵文年,董星明,邹宏,衢州市
239,603323.SH,徐晓军,庄颖杰,陆颖栋,苏州市
240,688198.SH,金磊,金磊,金磊,北京市
241,601375.SH,菅明军,常军胜,朱启本,郑州市
242,300789.SZ,周艳,周艳,魏益忠,成都市
243,002935.SZ,张建军,刘江,陈静,成都市
244,601916.SH,沈仁康,徐仁艳,刘龙,杭州市
245,688100.SH,吉喆,李鸿,钟喜玉,长沙市
246,601108.SH,陆建强,阮琪,申建新,杭州市
247,601808.SH,齐美胜,齐美胜,吴艳艳,天津市
248,002950.SZ,崔金海,崔金海,杜先举,宜昌市
249,300768.SZ,郑树生,郑树生,邹禧典,杭州市
250,601005.SH,张文学,张文学,,重庆市
251,688686.SH,卢治临,卢治临,许学亮,东莞市
252,688551.SH,傅仕涛,蒋佳平,葛彭胜,合肥市
253,300741.SZ,夏利群,袁肖琴,胡伟,拉萨市
254,601702.SH,陈国桢,高勇进,张凌燕,上海市
255,300915.SZ,黄海瑚,黄海瑚,王玮华,上海市
256,688528.SH,邵泽华,邵泽华,李勇,成都市
257,688330.SH,章辉,冷春田,沈骁虓,上海市
258,688338.SH,吴仕明,王海,张嘉翃,北京市
259,300818.SZ,郑昊,程胜,王磊,上饶市
260,688123.SH,陈作涛,张建臣,袁崇伟,上海市
261,300906.SZ,陶捷,陶捷,沈浩,南昌市
262,002980.SZ,袁剑敏,袁剑敏,任欢,深圳市
263,605179.SH,朱立科,朱立群,林益雷,温州市
264,002110.SZ,黎立璋,卢芳颖,胡红林,三明市
265,300660.SZ,苏建国,华荣伟,苏达,常州市
266,300932.SZ,宋朝阳,宋朝阳,王孟君,东莞市
267,688288.SH,何军强,何军强,吕慧华,杭州市
268,300669.SZ,邹家春,邹家春,吴伟忠,杭州市
269,688680.SH,李民,李民,李晓昱,上海市
270,002187.SZ,王华俊,钱圣山,钟芬,广州市
271,300577.SZ,范劲松,范劲松,徐耘,滁州市
272,002871.SZ,范庆伟,李会君,刘克平,青岛市
273,300777.SZ,杨永岗,温月芳,魏星,常州市
274,603890.SH,薛革文,薛革文,张振杰,苏州市
275,002372.SZ,金红阳,金红阳,谭梅,台州市
276,601880.SH,魏明晖,孙德泉,王慧颖,大连市
277,300081.SZ,孟宪民,孟宪民,吴狄杰,北京市
278,688183.SH,邓春华,张恭敬,唐慧芬,东莞市
279,300170.SZ,陈迪清,黄益全,沈雁冰,上海市
280,002484.SZ,陈卫东,陆军,王汉明,南通市
281,603076.SH,黄粤宁,黄粤宁,吴再红,宁波市
282,605377.SH,张延成,张延成,陈蕾,杭州市
283,603938.SH,孙任靖,万柏峰,么大伟,唐山市
284,002807.SZ,孙伟,宋萍,卞丹娟,无锡市
285,688357.SH,李建波,李朝峰,李怡丹,洛阳市
286,603879.SH,傅文昌,陈志山,朱水宝,泉州市
287,688155.SH,潘延庆,王颖琳,徐强,上海市
288,300765.SZ,韩峰,韩峰,杜英,石家庄市
289,300843.SZ,黄福林,黄福林,黄雪林,东莞市
290,605001.SH,孙汉本,卢芝坤,赵法森,青岛市
291,601066.SH,王常青,李格平,王广学,北京市
292,600928.SH,郭军,郭军,石小云,西安市
293,002936.SZ,王天宇,申学清,傅春乔,郑州市
294,601107.SH,甘勇义,李文虎,张永年,成都市
295,300922.SZ,宋金锁,张澎,王素荣,秦皇岛市
296,300636.SZ,庞正伟,庞正伟,周志承,宜春市
297,688333.SH,薛蕾,薛蕾,崔静姝,西安市
298,300551.SZ,陈崇军,陈崇军,姜小丹,上海市
299,603931.SH,方伟华,方伟华,徐华,杭州市
300,603758.SH,YUANMING TANG,YUANMING TANG,张华鸣,重庆市
301,300722.SZ,金卫平,袁有根,颜吉成,新余市
302,688289.SH,戴立忠,戴立忠,彭铸,长沙市
303,688118.SH,刘亚东,司建伟,逯亚娟,上海市
304,688386.SH,张云,张云,邹东伟,常州市
305,600039.SH,熊国斌,甘洪,周勇,成都市
306,600401.SH,邱新,邱新,问闻,无锡市
307,000100.SZ,李东生,李东生,廖骞,惠州市
308,600327.SH,高兵华,席国良,陈辉,无锡市
309,600490.SH,楼定波,,储越江,上海市
310,600493.SH,陈强,陈澄清,陈美珍,泉州市
311,600511.SH,姜修昌,姜修昌,朱霖,北京市
312,600527.SH,陶冶,陶冶,陆正中,苏州市
313,600565.SH,罗韶颖,罗韶颖,王骏,重庆市
314,600597.SH,濮韶华,罗海,沈小燕,上海市
315,600559.SH,刘彦龙,王占刚,刘勇,衡水市
316,600021.SH,胡建东,魏居亮,夏梅兴,上海市
317,600026.SH,刘汉波,朱迈进,李倬琼,上海市
318,600587.SH,王玉全,王玉全,李财祥,淄博市
319,600595.SH,崔红松,张松江,杨萍,郑州市
320,600340.SH,王文学,吴向东,林成红,廊坊市
321,300648.SZ,李有财,刘作斌,许龙飞,福州市
322,600531.SH,杨安国,李新战,苗红强,济源市
323,600449.SH,尹自波,王玉林,武雄,银川市
324,600507.SH,徐志新,常健,詹柏丹,南昌市
325,600438.SH,谢毅,郭异忠,严轲,成都市
326,688188.SH,唐晔,卢琳,周荇,上海市
327,600505.SH,牟昊,古强,邝伟民,凉山彝族自治州
328,603826.SH,谢秉昆,谢秉昆,黄甜甜,福州市
329,600375.SH,周建群,刘汉如,李峰,马鞍山市
330,600516.SH,党锡江,张天军,安民,兰州市
331,600403.SH,任春星,张林,张建强,三门峡市
332,600521.SH,陈保华,陈保华,祝永华,台州市
333,600452.SH,杨作祥,马郭亮,周勇,重庆市
334,300727.SZ,叶剑平,叶剑平,徐小骏,宁波市
335,600397.SH,邹爱国,金江涛,彭金柱,萍乡市
336,600525.SH,吴启权,吴启权,顾宁,深圳市
337,600031.SH,梁稳根,向文波,肖友良,北京市
338,600030.SH,张佑君,杨明辉,王俊锋,深圳市
339,600545.SH,潘雪平,盛意平,曾正平,乌鲁木齐市
340,600990.SH,陈信平,张春城,王向新,合肥市
341,600370.SH,卞惠良,卞永刚,俞红霞,无锡市
342,600584.SH,郑力,郑力,吴宏鲲,无锡市
343,600571.SH,耿俊岭,林路,叶晖,杭州市
344,600547.SH,李国红,王树海,汤琦,济南市
345,600562.SH,李浪平,吴迤,薛海瑛,南京市
346,600273.SH,韩建红,汪建平,马现华,嘉兴市
347,600004.SH,邱嘉臣,王晓勇,戚耀明,广州市
348,300870.SZ,王合球,王合球,尚韵思,深圳市
349,688389.SH,刘先成,胡明龙,王红,深圳市
350,688185.SH,Xuefeng YU,Xuefeng YU,王靖,天津市
351,688138.SH,唐英敏,朱雪华,吴克强,深圳市
352,300939.SZ,黄志毅,陈嵘,王亚彬,深圳市
353,688027.SH,彭承志,赵勇,张军,合肥市
354,601128.SH,庄广强,薛文,孙明,苏州市
355,300701.SZ,单森林,张慧,邹洋,南阳市
356,600416.SH,周健君,汤鸿辉,李怡文,湘潭市
357,600475.SH,蒋志坚,缪强,钟文俊,无锡市
358,600349.SH,王建沂,俞志军,刘清,杭州市
359,600348.SH,杨乃时,武学刚,王平浩,阳泉市
360,600481.SH,缪文彬,刘正宇,王磊,无锡市
361,600557.SH,肖伟,肖伟,尹洪刚,连云港市
362,600553.SH,姜长禄,范国良,郑宝金,邯郸市
363,002159.SZ,张泉,王栎栎,曹正,武汉市
364,600426.SH,常怀春,常怀春,高文军,德州市
365,600537.SH,李静武,刘强,张婷,宁波市
366,600526.SH,吴东明,罗水源,郭滢,绍兴市
367,600487.SH,尹纪成,尹纪成,蒋明,苏州市
368,600446.SH,李结义,徐岷波,殷明,深圳市
369,300672.SZ,向平,向平,黄然,长沙市
370,605303.SH,吴光洪,张炎良,王冰,杭州市
371,600546.SH,王为民,梁建光,钟晓强,太原市
372,600408.SH,杨锦龙,郭全虎,郭全虎,晋中市
373,600580.SH,陈建成,庞欣元,吴剑波,绍兴市
374,600513.SH,夏春来,吴文格,黄文韬,扬州市
375,600581.SH,沈东新,张春辉,樊国康,乌鲁木齐市
376,600479.SH,江端预,蹇顺,朱溧,株洲市
377,600015.SH,李民吉,张健华,宋继清,北京市
378,600576.SH,燕东来,燕东来,王衡,杭州市
379,600579.SH,刘韬,Michael Ruf,翟峰,青岛市
380,300650.SZ,庄占龙,庄占龙,苏芳,漳州市
381,600436.SH,刘建顺,黄进明,陈纪鹏,漳州市
382,002966.SZ,王兰凤,赵琨,李伟,苏州市
383,603885.SH,王均金,赵宏亮,徐骏民,上海市
384,300643.SZ,张健儿,张健儿,李滨,杭州市
385,600458.SH,杨军,彭华文,夏智,株洲市
386,002327.SZ,林国芳,林国芳,龚芸,深圳市
387,600353.SH,刘卫东,张纯,熊尚荣,成都市
388,600570.SH,彭政纲,刘曙峰,屠海雁,杭州市
389,600969.SH,范培顺,雷运明,吴荣,郴州市
390,600271.SH,马天晖,陈荣兴,马振洲,北京市
391,600577.SH,李晓,陈彬,胡孔友,铜陵市
392,600409.SH,王春生,王铁英,刘印江,唐山市
393,003006.SZ,冯永林,冯永林,张黎,重庆市
394,300855.SZ,万柏方,万柏方,万捷,镇江市
395,002900.SZ,秦剑飞,秦剑飞,赵庆福,哈尔滨市
396,688678.SH,许惠钧,许惠钧,顾月勤,苏州市
397,601238.SH,曾庆洪,冯兴亚,眭立,广州市
398,600538.SH,潘利斌,潘利斌,李勇,北海市
399,600593.SH,杨子平,毛崴,毛崴,大连市
400,600572.SH,胡季强,罗国良,金祖成,金华市
401,600469.SH,王锋,王锋,刘新军,焦作市
402,600489.SH,卢进,赵占国,李跃清,北京市
403,300743.SZ,韩琼,韩琼,齐玲玲,杭州市
404,002896.SZ,岑国建,宋小明,伍旭君,宁波市
405,688069.SH,胡明明,胡明明,丁锡清,无锡市
406,605111.SH,朱袁正,朱袁正,肖东戈,无锡市
407,603960.SH,谈士力,谈士力,曹卫红,上海市
408,601919.SH,许立荣,杨志坚,郭华伟,天津市
409,600025.SH,袁湘华,孙卫,邓炳超,昆明市
410,601001.SH,崔建军,朱海月,钱建军,大同市
411,002083.SZ,肖茂昌,吴明凤,彭仕强,潍坊市
412,300091.SZ,季伟,季伟,陈树军,南通市
413,600988.SH,王建华,吕晓兆,周新兵,赤峰市
414,600502.SH,王厚良,许克顺,黄代,蚌埠市
415,600429.SH,于永杰,张学庆,张娜,北京市
416,600371.SH,沈志军,沈志军,沈志军,哈尔滨市
417,600586.SH,王刚,曹廷发,董保森,淄博市
418,003027.SZ,郑光明,朱宁,曾兴生,马鞍山市
419,300880.SZ,章国耀,章恩友,李楠,宁波市
420,688600.SH,臧牧,臧牧,王胜芳,合肥市
421,002948.SZ,郭少泉,王麟,吕岚,青岛市
422,300828.SZ,国占昌,国占昌,王哲,天津市
423,601963.SH,林军,冉海陵,彭彦曦,重庆市
424,002594.SZ,王传福,王传福,李黔,深圳市
425,601118.SH,艾轶伦,李超,董敬军,海口市
426,600491.SH,赖振元,赖朝辉,张丽,宁波市
427,600423.SH,陆胜云,陆胜云,龙立萍,柳州市
428,600522.SH,薛济萍,陆伟,杨栋云,南通市
429,600561.SH,王晓,胡维泉,吴隼,南昌市
430,603966.SH,金红萍,陶峰华,彭家辉,苏州市
431,600908.SH,邵辉,陶畅,孟晋,无锡市
432,300710.SZ,许泉海,许泉海,郑静,杭州市
433,002338.SZ,孙守红,高劲松,高劲松,长春市
434,300026.SZ,姚小青,郑丹,蓝武军,天津市
435,002116.SZ,赵国昂,陈荣荣,林琳,上海市
436,002331.SZ,周发展,王夕众,潘大圣,合肥市
437,600352.SH,阮伟祥,阮伟祥,姚建芳,绍兴市
438,600114.SH,朱志荣,朱志荣,严丰慕,宁波市
439,600470.SH,陈胜前,马健,邢金俄,铜陵市
440,605288.SH,周荣清,周殊程,陆晓波,常州市
441,600355.SH,张学阳,张学阳,张万宏,武汉市
442,600463.SH,王鹏,王鹏,刘彦明,北京市
443,688981.SH,周子学,,郭光莉,
444,688505.SH,王海波,王海波,薛燕,上海市
445,603855.SH,胡志荣,胡志荣,郑晓荣,上海市
446,002771.SZ,何小波,王小刚,李春友,北京市
447,601958.SH,程方方,杨国平,尹战劳,西安市
448,601038.SH,黎晓煜,刘继国,于丽娜,洛阳市
449,002088.SZ,鹿成滨,鹿超,刘兆红,淄博市
450,002332.SZ,张宇松,张宇松,张王伟,台州市
451,600462.SH,肖自然,肖自然,肖自然,深圳市
452,600515.SH,鲁晓明,陈德辉,黄尔威,海口市
453,600980.SH,韩龙,卢世杰,冉红想,北京市
454,600517.SH,谭真勇,谭真勇,牛希红,上海市
455,605198.SH,王安,张辉,王艳辉,烟台市
456,600900.SH,雷鸣山,张星燎,李绍平,北京市
