,TS代码,股票代码,股票名称,行业,市场类型
124,000534.SZ,000534,万泽股份,生物制药,主板
125,000536.SZ,000536,*ST华映,元器件,主板
126,000537.SZ,000537,广宇发展,区域地产,主板
127,000538.SZ,000538,云南白药,中成药,主板
128,000539.SZ,000539,粤电力A,火力发电,主板
129,000540.SZ,000540,中天金融,多元金融,主板
130,000541.SZ,000541,佛山照明,家用电器,主板
131,000543.SZ,000543,皖能电力,火力发电,主板
132,000544.SZ,000544,中原环保,环境保护,主板
133,000545.SZ,000545,金浦钛业,化工原料,主板
134,000546.SZ,000546,金圆股份,水泥,主板
135,000547.SZ,000547,航天发展,通信设备,主板
136,000548.SZ,000548,湖南投资,路桥,主板
137,000550.SZ,000550,江铃汽车,汽车整车,主板
138,000551.SZ,000551,创元科技,专用机械,主板
139,000552.SZ,000552,靖远煤电,煤炭开采,主板
140,000553.SZ,000553,安道麦A,农药化肥,主板
141,000554.SZ,000554,泰山石油,石油贸易,主板
142,000555.SZ,000555,神州信息,软件服务,主板
143,000557.SZ,000557,西部创业,铁路,主板
144,000558.SZ,000558,莱茵体育,文教休闲,主板
145,000559.SZ,000559,万向钱潮,汽车配件,主板
146,000560.SZ,000560,我爱我家,房产服务,主板
147,000561.SZ,000561,烽火电子,通信设备,主板
148,000563.SZ,000563,陕国投A,多元金融,主板
149,000564.SZ,000564,*ST大集,百货,主板
150,000565.SZ,000565,渝三峡A,染料涂料,主板
151,000566.SZ,000566,海南海药,化学制药,主板
152,000567.SZ,000567,海德股份,多元金融,主板
153,000568.SZ,000568,泸州老窖,白酒,主板
154,000570.SZ,000570,苏常柴A,机械基件,主板
155,000571.SZ,000571,*ST大洲,综合类,主板
156,000572.SZ,000572,ST海马,汽车整车,主板
157,000573.SZ,000573,粤宏远A,区域地产,主板
158,000576.SZ,000576,甘化科工,综合类,主板
159,000581.SZ,000581,威孚高科,汽车配件,主板
160,000582.SZ,000582,北部湾港,港口,主板
161,000584.SZ,000584,哈工智能,专用机械,主板
162,000585.SZ,000585,*ST东电,电气设备,主板
163,000586.SZ,000586,汇源通信,通信设备,主板
164,000587.SZ,000587,*ST金洲,批发业,主板
165,000589.SZ,000589,贵州轮胎,汽车配件,主板
166,000590.SZ,000590,启迪药业,中成药,主板
167,000591.SZ,000591,太阳能,新型电力,主板
168,000592.SZ,000592,平潭发展,林业,主板
169,000593.SZ,000593,大通燃气,供气供热,主板
170,000595.SZ,000595,*ST宝实,机械基件,主板
171,000596.SZ,000596,古井贡酒,白酒,主板
172,000597.SZ,000597,东北制药,化学制药,主板
173,000598.SZ,000598,兴蓉环境,水务,主板
174,000599.SZ,000599,青岛双星,汽车配件,主板
175,000600.SZ,000600,建投能源,火力发电,主板
176,000601.SZ,000601,韶能股份,水力发电,主板
177,000603.SZ,000603,盛达资源,铅锌,主板
178,000605.SZ,000605,渤海股份,水务,主板
179,000606.SZ,000606,顺利办,互联网,主板
180,000607.SZ,000607,华媒控股,广告包装,主板
181,000608.SZ,000608,阳光股份,区域地产,主板
182,000609.SZ,000609,中迪投资,区域地产,主板
183,000610.SZ,000610,西安旅游,旅游服务,主板
184,000611.SZ,000611,ST天首,纺织,主板
185,000612.SZ,000612,焦作万方,铝,主板
186,000613.SZ,000613,大东海A,旅游服务,主板
187,000615.SZ,000615,奥园美谷,化纤,主板
188,000616.SZ,000616,海航投资,全国地产,主板
189,000617.SZ,000617,中油资本,多元金融,主板
190,000619.SZ,000619,海螺型材,其他建材,主板
191,000620.SZ,000620,新华联,全国地产,主板
192,000622.SZ,000622,恒立实业,汽车配件,主板
193,000623.SZ,000623,吉林敖东,化学制药,主板
194,000625.SZ,000625,长安汽车,汽车整车,主板
195,000626.SZ,000626,远大控股,商贸代理,主板
196,000627.SZ,000627,天茂集团,保险,主板
197,000628.SZ,000628,高新发展,园区开发,主板
198,000629.SZ,000629,攀钢钒钛,小金属,主板
199,000630.SZ,000630,铜陵有色,铜,主板
200,000631.SZ,000631,顺发恒业,区域地产,主板
201,000632.SZ,000632,三木集团,综合类,主板
202,000633.SZ,000633,合金投资,综合类,主板
203,000635.SZ,000635,英力特,化工原料,主板
204,000636.SZ,000636,风华高科,元器件,主板
205,000637.SZ,000637,茂化实华,石油加工,主板
206,000638.SZ,000638,万方发展,软件服务,主板
207,000639.SZ,000639,西王食品,食品,主板
208,000650.SZ,000650,仁和药业,中成药,主板
209,000651.SZ,000651,格力电器,家用电器,主板
210,000652.SZ,000652,泰达股份,批发业,主板
211,000655.SZ,000655,金岭矿业,普钢,主板
212,000656.SZ,000656,金科股份,区域地产,主板
213,000657.SZ,000657,中钨高新,小金属,主板
214,000659.SZ,000659,珠海中富,广告包装,主板
215,000661.SZ,000661,长春高新,生物制药,主板
216,000662.SZ,000662,天夏退,,主板
217,000663.SZ,000663,*ST永林,林业,主板
218,000665.SZ,000665,湖北广电,影视音像,主板
219,000666.SZ,000666,经纬纺机,多元金融,主板
220,000667.SZ,000667,美好置业,全国地产,主板
221,000668.SZ,000668,荣丰控股,区域地产,主板
222,000669.SZ,000669,*ST金鸿,供气供热,主板
223,000671.SZ,000671,阳光城,区域地产,主板
224,000672.SZ,000672,上峰水泥,水泥,主板
225,000673.SZ,000673,*ST当代,影视音像,主板
226,000676.SZ,000676,智度股份,互联网,主板
227,000677.SZ,000677,恒天海龙,化纤,主板
228,000678.SZ,000678,襄阳轴承,机械基件,主板
229,000679.SZ,000679,*ST友谊,百货,主板
230,000680.SZ,000680,山推股份,工程机械,主板
231,000681.SZ,000681,视觉中国,互联网,主板
232,000682.SZ,000682,东方电子,软件服务,主板
233,000683.SZ,000683,远兴能源,化工原料,主板
234,000685.SZ,000685,中山公用,水务,主板
235,000686.SZ,000686,东北证券,证券,主板
236,000687.SZ,000687,*ST华讯,通信设备,主板
237,000688.SZ,000688,国城矿业,铅锌,主板
238,000690.SZ,000690,宝新能源,火力发电,主板
239,000691.SZ,000691,亚太实业,化工原料,主板
240,000692.SZ,000692,惠天热电,供气供热,主板
241,000695.SZ,000695,滨海能源,广告包装,主板
242,000697.SZ,000697,炼石航空,航空,主板
243,000698.SZ,000698,沈阳化工,化工原料,主板
244,000700.SZ,000700,模塑科技,汽车配件,主板
245,000701.SZ,000701,厦门信达,综合类,主板
246,000702.SZ,000702,正虹科技,饲料,主板
247,000703.SZ,000703,恒逸石化,化纤,主板
248,000705.SZ,000705,浙江震元,医药商业,主板
249,000707.SZ,000707,ST双环,化工原料,主板
250,000708.SZ,000708,中信特钢,特种钢,主板
251,000709.SZ,000709,河钢股份,普钢,主板
252,000710.SZ,000710,贝瑞基因,医疗保健,主板
253,000711.SZ,000711,京蓝科技,软件服务,主板
254,000712.SZ,000712,锦龙股份,证券,主板
255,000713.SZ,000713,丰乐种业,种植业,主板
256,000715.SZ,000715,中兴商业,百货,主板
257,000716.SZ,000716,黑芝麻,食品,主板
258,000717.SZ,000717,韶钢松山,普钢,主板
259,000718.SZ,000718,苏宁环球,区域地产,主板
260,000719.SZ,000719,中原传媒,出版业,主板
261,000720.SZ,000720,新能泰山,区域地产,主板
262,000721.SZ,000721,西安饮食,酒店餐饮,主板
263,000722.SZ,000722,湖南发展,水力发电,主板
264,000723.SZ,000723,美锦能源,焦炭加工,主板
265,000725.SZ,000725,京东方A,元器件,主板
266,000726.SZ,000726,鲁泰A,纺织,主板
267,000727.SZ,000727,*ST东科,元器件,主板
268,000728.SZ,000728,国元证券,证券,主板
269,000729.SZ,000729,燕京啤酒,啤酒,主板
270,000731.SZ,000731,四川美丰,农药化肥,主板
271,000732.SZ,000732,泰禾集团,区域地产,主板
272,000733.SZ,000733,振华科技,元器件,主板
273,000735.SZ,000735,罗牛山,农业综合,主板
274,000736.SZ,000736,中交地产,全国地产,主板
275,000737.SZ,000737,ST南风,日用化工,主板
276,000738.SZ,000738,航发控制,航空,主板
277,000739.SZ,000739,普洛药业,化学制药,主板
278,000750.SZ,000750,国海证券,证券,主板
279,000751.SZ,000751,锌业股份,铅锌,主板
280,000752.SZ,000752,*ST西发,啤酒,主板
281,000753.SZ,000753,漳州发展,汽车服务,主板
282,000755.SZ,000755,山西路桥,公路,主板
283,000756.SZ,000756,新华制药,化学制药,主板
284,000757.SZ,000757,浩物股份,汽车配件,主板
285,000758.SZ,000758,中色股份,铅锌,主板
286,000759.SZ,000759,中百集团,超市连锁,主板
287,000761.SZ,000761,本钢板材,普钢,主板
288,000762.SZ,000762,西藏矿业,小金属,主板
