,TS代码,股票代码,股票名称,行业,市场类型
1083,002640.SZ,002640,跨境通,互联网,中小板
1084,002641.SZ,002641,永高股份,塑料,中小板
1085,002642.SZ,002642,荣联科技,软件服务,中小板
1086,002643.SZ,002643,万润股份,化工原料,中小板
1087,002644.SZ,002644,佛慈制药,中成药,中小板
1088,002645.SZ,002645,华宏科技,专用机械,中小板
1089,002646.SZ,002646,青青稞酒,白酒,中小板
1090,002647.SZ,002647,仁东控股,多元金融,中小板
1091,002648.SZ,002648,卫星石化,化工原料,中小板
1092,002649.SZ,002649,博彦科技,软件服务,中小板
1093,002650.SZ,002650,ST加加,食品,中小板
1094,002651.SZ,002651,利君股份,专用机械,中小板
1095,002652.SZ,002652,扬子新材,其他建材,中小板
1096,002653.SZ,002653,海思科,化学制药,中小板
1097,002654.SZ,002654,万润科技,互联网,中小板
1098,002655.SZ,002655,共达电声,元器件,中小板
1099,002656.SZ,002656,ST摩登,服饰,中小板
1100,002657.SZ,002657,中科金财,软件服务,中小板
1101,002658.SZ,002658,雪迪龙,环境保护,中小板
1102,002659.SZ,002659,凯文教育,文教休闲,中小板
1103,002660.SZ,002660,茂硕电源,电气设备,中小板
1104,002661.SZ,002661,克明面业,食品,中小板
1105,002662.SZ,002662,京威股份,汽车配件,中小板
1106,002663.SZ,002663,普邦股份,建筑工程,中小板
1107,002664.SZ,002664,长鹰信质,汽车配件,中小板
1108,002665.SZ,002665,首航高科,电气设备,中小板
1109,002666.SZ,002666,德联集团,化工原料,中小板
1110,002667.SZ,002667,鞍重股份,工程机械,中小板
1111,002668.SZ,002668,奥马电器,家用电器,中小板
1112,002669.SZ,002669,康达新材,化工原料,中小板
1113,002670.SZ,002670,国盛金控,证券,中小板
1114,002671.SZ,002671,龙泉股份,其他建材,中小板
1115,002672.SZ,002672,东江环保,环境保护,中小板
1116,002673.SZ,002673,西部证券,证券,中小板
1117,002674.SZ,002674,兴业科技,纺织,中小板
1118,002675.SZ,002675,东诚药业,化学制药,中小板
1119,002676.SZ,002676,顺威股份,塑料,中小板
1120,002677.SZ,002677,浙江美大,家用电器,中小板
1121,002678.SZ,002678,珠江钢琴,文教休闲,中小板
1122,002679.SZ,002679,福建金森,林业,中小板
1123,002681.SZ,002681,*ST奋达,家用电器,中小板
1124,002682.SZ,002682,龙洲股份,公路,中小板
1125,002683.SZ,002683,宏大爆破,化工原料,中小板
1126,002684.SZ,002684,ST猛狮,电气设备,中小板
1127,002685.SZ,002685,华东重机,工程机械,中小板
1128,002686.SZ,002686,亿利达,专用机械,中小板
1129,002687.SZ,002687,乔治白,服饰,中小板
1130,002688.SZ,002688,金河生物,化学制药,中小板
1131,002689.SZ,002689,远大智能,运输设备,中小板
1132,002690.SZ,002690,美亚光电,专用机械,中小板
1133,002691.SZ,002691,冀凯股份,专用机械,中小板
1134,002692.SZ,002692,ST远程,电气设备,中小板
1135,002693.SZ,002693,双成药业,化学制药,中小板
1136,002694.SZ,002694,顾地科技,塑料,中小板
1137,002695.SZ,002695,煌上煌,食品,中小板
1138,002696.SZ,002696,百洋股份,渔业,中小板
1139,002697.SZ,002697,红旗连锁,超市连锁,中小板
1140,002698.SZ,002698,博实股份,化工机械,中小板
1141,002699.SZ,002699,美盛文化,服饰,中小板
1142,002700.SZ,002700,ST浩源,供气供热,中小板
1143,002701.SZ,002701,奥瑞金,广告包装,中小板
1144,002702.SZ,002702,海欣食品,食品,中小板
1145,002703.SZ,002703,浙江世宝,汽车配件,中小板
1146,002705.SZ,002705,新宝股份,家用电器,中小板
1147,002706.SZ,002706,良信股份,电气设备,中小板
1148,002707.SZ,002707,众信旅游,旅游服务,中小板
1149,002708.SZ,002708,光洋股份,汽车配件,中小板
1150,002709.SZ,002709,天赐材料,化工原料,中小板
1151,002712.SZ,002712,思美传媒,广告包装,中小板
1152,002713.SZ,002713,东易日盛,装修装饰,中小板
1153,002714.SZ,002714,牧原股份,农业综合,中小板
1154,002715.SZ,002715,登云股份,汽车配件,中小板
1155,002716.SZ,002716,*ST金贵,小金属,中小板
1156,002717.SZ,002717,岭南股份,环境保护,中小板
1157,002718.SZ,002718,友邦吊顶,家居用品,中小板
1158,002719.SZ,002719,*ST麦趣,乳制品,中小板
1159,002721.SZ,002721,金一文化,服饰,中小板
1160,002722.SZ,002722,金轮股份,纺织机械,中小板
1161,002723.SZ,002723,金莱特,家用电器,中小板
1162,002724.SZ,002724,海洋王,半导体,中小板
1163,002725.SZ,002725,跃岭股份,汽车配件,中小板
1164,002726.SZ,002726,龙大肉食,食品,中小板
1165,002727.SZ,002727,一心堂,医药商业,中小板
1166,002728.SZ,002728,特一药业,中成药,中小板
1167,002729.SZ,002729,好利来,元器件,中小板
1168,002730.SZ,002730,电光科技,电气设备,中小板
1169,002731.SZ,002731,萃华珠宝,服饰,中小板
1170,002732.SZ,002732,燕塘乳业,乳制品,中小板
1171,002733.SZ,002733,雄韬股份,电气设备,中小板
1172,002734.SZ,002734,利民股份,农药化肥,中小板
1173,002735.SZ,002735,王子新材,塑料,中小板
1174,002736.SZ,002736,国信证券,证券,中小板
1175,002737.SZ,002737,葵花药业,中成药,中小板
1176,002738.SZ,002738,中矿资源,小金属,中小板
1177,002739.SZ,002739,万达电影,影视音像,中小板
1178,002740.SZ,002740,爱迪尔,服饰,中小板
1179,002741.SZ,002741,光华科技,化工原料,中小板
1180,002742.SZ,002742,三圣股份,其他建材,中小板
1181,002743.SZ,002743,富煌钢构,钢加工,中小板
1182,002745.SZ,002745,木林森,电气设备,中小板
1183,002746.SZ,002746,仙坛股份,农业综合,中小板
1184,002747.SZ,002747,埃斯顿,机械基件,中小板
1185,002748.SZ,002748,世龙实业,化工原料,中小板
1186,002749.SZ,002749,国光股份,农药化肥,中小板
1187,002750.SZ,002750,龙津药业,中成药,中小板
1188,002751.SZ,002751,易尚展示,家居用品,中小板
1189,002752.SZ,002752,昇兴股份,广告包装,中小板
1190,002753.SZ,002753,永东股份,化工原料,中小板
1191,002755.SZ,002755,奥赛康,化学制药,中小板
1192,002756.SZ,002756,永兴材料,特种钢,中小板
1193,002757.SZ,002757,南兴股份,专用机械,中小板
1194,002758.SZ,002758,浙农股份,医药商业,中小板
1195,002759.SZ,002759,天际股份,家用电器,中小板
1196,002760.SZ,002760,凤形股份,机械基件,中小板
1197,002761.SZ,002761,多喜爱,建筑工程,中小板
1198,002762.SZ,002762,金发拉比,服饰,中小板
1199,002763.SZ,002763,汇洁股份,服饰,中小板
1200,002765.SZ,002765,蓝黛科技,汽车配件,中小板
1201,002766.SZ,002766,ST索菱,汽车配件,中小板
1202,002767.SZ,002767,先锋电子,电器仪表,中小板
1203,002768.SZ,002768,国恩股份,塑料,中小板
1204,002769.SZ,002769,普路通,仓储物流,中小板
1205,002770.SZ,002770,ST科迪,乳制品,中小板
1206,002771.SZ,002771,真视通,软件服务,中小板
1207,002772.SZ,002772,众兴菌业,种植业,中小板
1208,002773.SZ,002773,康弘药业,化学制药,中小板
1209,002774.SZ,002774,快意电梯,运输设备,中小板
1210,002775.SZ,002775,文科园林,建筑工程,中小板
1211,002776.SZ,002776,柏堡龙,服饰,中小板
1212,002777.SZ,002777,久远银海,软件服务,中小板
1213,002778.SZ,002778,高科石化,石油加工,中小板
1214,002779.SZ,002779,中坚科技,农用机械,中小板
1215,002780.SZ,002780,三夫户外,其他商业,中小板
1216,002781.SZ,002781,奇信股份,装修装饰,中小板
1217,002782.SZ,002782,可立克,电气设备,中小板
1218,002783.SZ,002783,凯龙股份,化工原料,中小板
1219,002785.SZ,002785,万里石,其他建材,中小板
1220,002786.SZ,002786,银宝山新,专用机械,中小板
1221,002787.SZ,002787,华源控股,广告包装,中小板
1222,002788.SZ,002788,鹭燕医药,医药商业,中小板
1223,002789.SZ,002789,建艺集团,装修装饰,中小板
1224,002790.SZ,002790,瑞尔特,家居用品,中小板
1225,002791.SZ,002791,坚朗五金,其他建材,中小板
1226,002792.SZ,002792,通宇通讯,通信设备,中小板
1227,002793.SZ,002793,罗欣药业,化学制药,中小板
1228,002795.SZ,002795,永和智控,机械基件,中小板
1229,002796.SZ,002796,世嘉科技,通信设备,中小板
1230,002797.SZ,002797,第一创业,证券,中小板
1231,002798.SZ,002798,帝欧家居,家居用品,中小板
1232,002799.SZ,002799,环球印务,广告包装,中小板
1233,002800.SZ,002800,天顺股份,仓储物流,中小板
1234,002801.SZ,002801,微光股份,电气设备,中小板
1235,002802.SZ,002802,洪汇新材,化工原料,中小板
1236,002803.SZ,002803,吉宏股份,互联网,中小板
1237,002805.SZ,002805,丰元股份,化工原料,中小板
1238,002806.SZ,002806,华锋股份,元器件,中小板
1239,002807.SZ,002807,江阴银行,银行,中小板
1240,002808.SZ,002808,恒久科技,元器件,中小板
1241,002809.SZ,002809,红墙股份,化工原料,中小板
1242,002810.SZ,002810,山东赫达,化工原料,中小板
1243,002811.SZ,002811,郑中设计,装修装饰,中小板
1244,002812.SZ,002812,恩捷股份,塑料,中小板
1245,002813.SZ,002813,路畅科技,汽车配件,中小板
1246,002815.SZ,002815,崇达技术,元器件,中小板
1247,002816.SZ,002816,和科达,专用机械,中小板
1248,002817.SZ,002817,黄山胶囊,化学制药,中小板
1249,002818.SZ,002818,富森美,其他商业,中小板
1250,002819.SZ,002819,东方中科,电器仪表,中小板
1251,002820.SZ,002820,桂发祥,食品,中小板
1252,002821.SZ,002821,凯莱英,生物制药,中小板
1253,002822.SZ,002822,中装建设,装修装饰,中小板
1254,002823.SZ,002823,凯中精密,机械基件,中小板
1255,002824.SZ,002824,和胜股份,铝,中小板
1256,002825.SZ,002825,纳尔股份,化工原料,中小板
1257,002826.SZ,002826,易明医药,中成药,中小板
1258,002827.SZ,002827,高争民爆,化工原料,中小板
1259,002828.SZ,002828,贝肯能源,石油开采,中小板
1260,002829.SZ,002829,星网宇达,通信设备,中小板
1261,002830.SZ,002830,名雕股份,装修装饰,中小板
1262,002831.SZ,002831,裕同科技,广告包装,中小板
1263,002832.SZ,002832,比音勒芬,服饰,中小板
1264,002833.SZ,002833,弘亚数控,专用机械,中小板
1265,002835.SZ,002835,同为股份,元器件,中小板
1266,002836.SZ,002836,新宏泽,广告包装,中小板
1267,002837.SZ,002837,英维克,专用机械,中小板
1268,002838.SZ,002838,道恩股份,塑料,中小板
1269,002839.SZ,002839,张家港行,银行,中小板
1270,002840.SZ,002840,华统股份,食品,中小板
1271,002841.SZ,002841,视源股份,元器件,中小板
1272,002842.SZ,002842,翔鹭钨业,小金属,中小板
1273,002843.SZ,002843,泰嘉股份,钢加工,中小板
1274,002845.SZ,002845,同兴达,元器件,中小板
1275,002846.SZ,002846,英联股份,广告包装,中小板
1276,002847.SZ,002847,盐津铺子,食品,中小板
1277,002848.SZ,002848,高斯贝尔,通信设备,中小板
1278,002849.SZ,002849,威星智能,电器仪表,中小板
1279,002850.SZ,002850,科达利,机械基件,中小板
1280,002851.SZ,002851,麦格米特,电气设备,中小板
1281,002852.SZ,002852,道道全,食品,中小板
1282,002853.SZ,002853,皮阿诺,家居用品,中小板
1283,002855.SZ,002855,捷荣技术,塑料,中小板
1284,002856.SZ,002856,美芝股份,装修装饰,中小板
1285,002857.SZ,002857,三晖电气,电器仪表,中小板
1286,002858.SZ,002858,力盛赛车,文教休闲,中小板
1287,002859.SZ,002859,洁美科技,元器件,中小板
1288,002860.SZ,002860,星帅尔,电气设备,中小板
1289,002861.SZ,002861,瀛通通讯,通信设备,中小板
1290,002862.SZ,002862,实丰文化,文教休闲,中小板
1291,002863.SZ,002863,今飞凯达,汽车配件,中小板
1292,002864.SZ,002864,盘龙药业,中成药,中小板
1293,002865.SZ,002865,钧达股份,汽车配件,中小板
1294,002866.SZ,002866,传艺科技,IT设备,中小板
1295,002867.SZ,002867,周大生,服饰,中小板
1296,002868.SZ,002868,绿康生化,农业综合,中小板
1297,002869.SZ,002869,金溢科技,通信设备,中小板
1298,002870.SZ,002870,香山股份,电器仪表,中小板
1299,002871.SZ,002871,伟隆股份,机械基件,中小板
1300,002872.SZ,002872,ST天圣,化学制药,中小板
1301,002873.SZ,002873,新天药业,中成药,中小板
1302,002875.SZ,002875,安奈儿,服饰,中小板
1303,002876.SZ,002876,三利谱,元器件,中小板
1304,002877.SZ,002877,智能自控,电器仪表,中小板
1305,002878.SZ,002878,元隆雅图,文教休闲,中小板
1306,002879.SZ,002879,长缆科技,电气设备,中小板
1307,002880.SZ,002880,卫光生物,生物制药,中小板
1308,002881.SZ,002881,美格智能,通信设备,中小板
1309,002882.SZ,002882,金龙羽,电气设备,中小板
1310,002883.SZ,002883,中设股份,建筑工程,中小板
1311,002884.SZ,002884,凌霄泵业,专用机械,中小板
1312,002885.SZ,002885,京泉华,元器件,中小板
1313,002886.SZ,002886,沃特股份,塑料,中小板
1314,002887.SZ,002887,绿茵生态,环境保护,中小板
1315,002888.SZ,002888,惠威科技,元器件,中小板
1316,002889.SZ,002889,东方嘉盛,仓储物流,中小板
1317,002890.SZ,002890,弘宇股份,农用机械,中小板
1318,002891.SZ,002891,中宠股份,饲料,中小板
1319,002892.SZ,002892,科力尔,电气设备,中小板
1320,002893.SZ,002893,华通热力,供气供热,中小板
1321,002895.SZ,002895,川恒股份,化工原料,中小板
1322,002896.SZ,002896,中大力德,机械基件,中小板
1323,002897.SZ,002897,意华股份,元器件,中小板
1324,002898.SZ,002898,赛隆药业,化学制药,中小板
1325,002899.SZ,002899,英派斯,文教休闲,中小板
1326,002900.SZ,002900,哈三联,化学制药,中小板
1327,002901.SZ,002901,大博医疗,医疗保健,中小板
1328,002902.SZ,002902,铭普光磁,元器件,中小板
1329,002903.SZ,002903,宇环数控,机床制造,中小板
1330,002905.SZ,002905,金逸影视,影视音像,中小板
1331,002906.SZ,002906,华阳集团,汽车配件,中小板
1332,002907.SZ,002907,华森制药,化学制药,中小板
1333,002908.SZ,002908,德生科技,元器件,中小板
1334,002909.SZ,002909,集泰股份,化工原料,中小板
1335,002910.SZ,002910,庄园牧场,乳制品,中小板
1336,002911.SZ,002911,佛燃能源,供气供热,中小板
1337,002912.SZ,002912,中新赛克,软件服务,中小板
1338,002913.SZ,002913,奥士康,元器件,中小板
1339,002915.SZ,002915,中欣氟材,化工原料,中小板
1340,002916.SZ,002916,深南电路,元器件,中小板
1341,002917.SZ,002917,金奥博,化工原料,中小板
1342,002918.SZ,002918,蒙娜丽莎,其他建材,中小板
1343,002919.SZ,002919,名臣健康,日用化工,中小板
1344,002920.SZ,002920,德赛西威,汽车配件,中小板
1345,002921.SZ,002921,联诚精密,汽车配件,中小板
1346,002922.SZ,002922,伊戈尔,电气设备,中小板
1347,002923.SZ,002923,润都股份,化学制药,中小板
1348,002925.SZ,002925,盈趣科技,元器件,中小板
1349,002926.SZ,002926,华西证券,证券,中小板
1350,002927.SZ,002927,泰永长征,电气设备,中小板
1351,002928.SZ,002928,华夏航空,空运,中小板
1352,002929.SZ,002929,润建股份,通信设备,中小板
1353,002930.SZ,002930,宏川智慧,仓储物流,中小板
1354,002931.SZ,002931,锋龙股份,汽车配件,中小板
1355,002932.SZ,002932,明德生物,医疗保健,中小板
1356,002933.SZ,002933,新兴装备,航空,中小板
1357,002935.SZ,002935,天奥电子,元器件,中小板
1358,002936.SZ,002936,郑州银行,银行,中小板
1359,002937.SZ,002937,兴瑞科技,元器件,中小板
1360,002938.SZ,002938,鹏鼎控股,元器件,中小板
1361,002939.SZ,002939,长城证券,证券,中小板
1362,002940.SZ,002940,昂利康,化学制药,中小板
1363,002941.SZ,002941,新疆交建,建筑工程,中小板
1364,002942.SZ,002942,新农股份,农药化肥,中小板
1365,002943.SZ,002943,宇晶股份,机床制造,中小板
1366,002945.SZ,002945,华林证券,证券,中小板
1367,002946.SZ,002946,新乳业,乳制品,中小板
1368,002947.SZ,002947,恒铭达,元器件,中小板
1369,002948.SZ,002948,青岛银行,银行,中小板
1370,002949.SZ,002949,华阳国际,建筑工程,中小板
1371,002950.SZ,002950,奥美医疗,医疗保健,中小板
1372,002951.SZ,002951,金时科技,广告包装,中小板
1373,002952.SZ,002952,亚世光电,元器件,中小板
1374,002953.SZ,002953,日丰股份,电气设备,中小板
1375,002955.SZ,002955,鸿合科技,IT设备,中小板
1376,002956.SZ,002956,西麦食品,食品,中小板
1377,002957.SZ,002957,科瑞技术,专用机械,中小板
1378,002958.SZ,002958,青农商行,银行,中小板
1379,002959.SZ,002959,小熊电器,家用电器,中小板
1380,002960.SZ,002960,青鸟消防,专用机械,中小板
1381,002961.SZ,002961,瑞达期货,多元金融,中小板
1382,002962.SZ,002962,五方光电,元器件,中小板
1383,002963.SZ,002963,豪尔赛,装修装饰,中小板
1384,002965.SZ,002965,祥鑫科技,汽车配件,中小板
1385,002966.SZ,002966,苏州银行,银行,中小板
1386,002967.SZ,002967,广电计量,综合类,中小板
1387,002968.SZ,002968,新大正,房产服务,中小板
1388,002969.SZ,002969,嘉美包装,广告包装,中小板
1389,002970.SZ,002970,锐明技术,通信设备,中小板
1390,002971.SZ,002971,和远气体,化工原料,中小板
1391,002972.SZ,002972,科安达,运输设备,中小板
1392,002973.SZ,002973,侨银股份,环境保护,中小板
1393,002975.SZ,002975,博杰股份,专用机械,中小板
1394,002976.SZ,002976,瑞玛工业,元器件,中小板
1395,002977.SZ,002977,天箭科技,通信设备,中小板
1396,002978.SZ,002978,安宁股份,小金属,中小板
1397,002979.SZ,002979,雷赛智能,专用机械,中小板
1398,002980.SZ,002980,华盛昌,电器仪表,中小板
1399,002981.SZ,002981,朝阳科技,元器件,中小板
1400,002982.SZ,002982,湘佳股份,农业综合,中小板
1401,002983.SZ,002983,芯瑞达,元器件,中小板
1402,002984.SZ,002984,森麒麟,汽车配件,中小板
1403,002985.SZ,002985,北摩高科,航空,中小板
1404,002986.SZ,002986,宇新股份,化工原料,中小板
1405,002987.SZ,002987,京北方,软件服务,中小板
1406,002988.SZ,002988,豪美新材,铝,中小板
1407,002989.SZ,002989,中天精装,装修装饰,中小板
1408,002990.SZ,002990,盛视科技,软件服务,中小板
1409,002991.SZ,002991,甘源食品,食品,中小板
1410,002992.SZ,002992,宝明科技,元器件,中小板
1411,002993.SZ,002993,奥海科技,元器件,中小板
1412,002995.SZ,002995,天地在线,互联网,中小板
1413,002996.SZ,002996,顺博合金,铝,中小板
1414,002997.SZ,002997,瑞鹄模具,汽车配件,中小板
1415,002998.SZ,002998,优彩资源,化纤,中小板
1416,002999.SZ,002999,天禾股份,批发业,中小板
1417,003000.SZ,003000,华文食品,食品,中小板
1418,003001.SZ,003001,中岩大地,建筑工程,中小板
1419,003002.SZ,003002,壶化股份,化工原料,中小板
1420,003003.SZ,003003,天元股份,广告包装,中小板
1421,003004.SZ,003004,声迅股份,软件服务,中小板
1422,003005.SZ,003005,竞业达,软件服务,中小板
1423,003006.SZ,003006,百亚股份,造纸,中小板
1424,003007.SZ,003007,直真科技,软件服务,中小板
1425,003008.SZ,003008,开普检测,电气设备,中小板
1426,003009.SZ,003009,中天火箭,航空,中小板
1427,003010.SZ,003010,若羽臣,互联网,中小板
1428,003011.SZ,003011,海象新材,家居用品,中小板
1429,003012.SZ,003012,东鹏控股,陶瓷,中小板
1430,003013.SZ,003013,地铁设计,建筑工程,中小板
1431,003015.SZ,003015,日久光电,元器件,中小板
1432,003016.SZ,003016,欣贺股份,服饰,中小板
1433,003017.SZ,003017,大洋生物,化工原料,中小板
1434,003018.SZ,003018,金富科技,塑料,中小板
1435,003019.SZ,003019,宸展光电,元器件,中小板
1436,003020.SZ,003020,立方制药,化学制药,中小板
1437,003021.SZ,003021,兆威机电,元器件,中小板
1438,003022.SZ,003022,联泓新科,化工原料,中小板
1439,003023.SZ,003023,彩虹集团,家用电器,中小板
1440,003025.SZ,003025,思进智能,机械基件,中小板
1441,003026.SZ,003026,中晶科技,半导体,中小板
1442,003027.SZ,003027,同兴环保,环境保护,中小板
1443,003028.SZ,003028,振邦智能,元器件,中小板
1444,003029.SZ,003029,吉大正元,软件服务,中小板
1445,003030.SZ,003030,祖名股份,食品,中小板
1446,003031.SZ,003031,中瓷电子,元器件,中小板
1447,003032.SZ,003032,传智教育,文教休闲,中小板
1448,003033.SZ,003033,征和工业,机械基件,中小板
1449,003035.SZ,003035,南网能源,环境保护,中小板
1450,003036.SZ,003036,泰坦股份,纺织机械,中小板
1451,003037.SZ,003037,三和管桩,水泥,中小板
1452,003038.SZ,003038,鑫铂股份,铝,中小板
1453,003816.SZ,003816,中国广核,新型电力,中小板
1454,300001.SZ,300001,特锐德,电气设备,创业板
1455,300002.SZ,300002,神州泰岳,软件服务,创业板
1456,300003.SZ,300003,乐普医疗,医疗保健,创业板
1457,300004.SZ,300004,南风股份,电气设备,创业板
1458,300005.SZ,300005,探路者,服饰,创业板
1459,300006.SZ,300006,莱美药业,化学制药,创业板
1460,300007.SZ,300007,汉威科技,电器仪表,创业板
1461,300008.SZ,300008,天海防务,船舶,创业板
1462,300009.SZ,300009,安科生物,生物制药,创业板
1463,300010.SZ,300010,豆神教育,软件服务,创业板
1464,300011.SZ,300011,鼎汉技术,运输设备,创业板
1465,300012.SZ,300012,华测检测,电器仪表,创业板
1466,300013.SZ,300013,新宁物流,仓储物流,创业板
1467,300014.SZ,300014,亿纬锂能,电气设备,创业板
1468,300015.SZ,300015,爱尔眼科,医疗保健,创业板
1469,300016.SZ,300016,北陆药业,中成药,创业板
1470,300017.SZ,300017,网宿科技,电信运营,创业板
1471,300018.SZ,300018,中元股份,电气设备,创业板
1472,300019.SZ,300019,硅宝科技,化工原料,创业板
1473,300020.SZ,300020,银江股份,软件服务,创业板
1474,300021.SZ,300021,大禹节水,农业综合,创业板
1475,300022.SZ,300022,吉峰科技,农用机械,创业板
1476,300023.SZ,300023,宝德股份,专用机械,创业板
1477,300024.SZ,300024,机器人,专用机械,创业板
1478,300025.SZ,300025,华星创业,通信设备,创业板
1479,300026.SZ,300026,红日药业,中成药,创业板
1480,300027.SZ,300027,华谊兄弟,影视音像,创业板
1481,300029.SZ,300029,ST天龙,专用机械,创业板
1482,300030.SZ,300030,阳普医疗,医疗保健,创业板
1483,300031.SZ,300031,宝通科技,互联网,创业板
1484,300032.SZ,300032,金龙机电,元器件,创业板
1485,300033.SZ,300033,同花顺,软件服务,创业板
1486,300034.SZ,300034,钢研高纳,小金属,创业板
1487,300035.SZ,300035,中科电气,电气设备,创业板
1488,300036.SZ,300036,超图软件,软件服务,创业板
1489,300037.SZ,300037,新宙邦,化工原料,创业板
1490,300038.SZ,300038,ST数知,互联网,创业板
1491,300039.SZ,300039,上海凯宝,中成药,创业板
1492,300040.SZ,300040,九洲集团,电气设备,创业板
1493,300041.SZ,300041,回天新材,化工原料,创业板
1494,300042.SZ,300042,朗科科技,IT设备,创业板
1495,300043.SZ,300043,星辉娱乐,文教休闲,创业板
1496,300044.SZ,300044,赛为智能,软件服务,创业板
1497,300045.SZ,300045,华力创通,IT设备,创业板
1498,300046.SZ,300046,台基股份,半导体,创业板
1499,300047.SZ,300047,天源迪科,软件服务,创业板
1500,300048.SZ,300048,合康新能,电气设备,创业板
1501,300049.SZ,300049,福瑞股份,医疗保健,创业板
1502,300050.SZ,300050,世纪鼎利,软件服务,创业板
1503,300051.SZ,300051,三五互联,互联网,创业板
1504,300052.SZ,300052,中青宝,互联网,创业板
1505,300053.SZ,300053,欧比特,半导体,创业板
1506,300054.SZ,300054,鼎龙股份,化工原料,创业板
1507,300055.SZ,300055,万邦达,环境保护,创业板
1508,300056.SZ,300056,中创环保,环境保护,创业板
1509,300057.SZ,300057,万顺新材,广告包装,创业板
1510,300058.SZ,300058,蓝色光标,广告包装,创业板
1511,300059.SZ,300059,东方财富,证券,创业板
1512,300061.SZ,300061,旗天科技,互联网,创业板
1513,300062.SZ,300062,中能电气,电气设备,创业板
1514,300063.SZ,300063,天龙集团,互联网,创业板
1515,300064.SZ,300064,ST金刚,矿物制品,创业板
1516,300065.SZ,300065,海兰信,软件服务,创业板
1517,300066.SZ,300066,三川智慧,电器仪表,创业板
1518,300067.SZ,300067,安诺其,染料涂料,创业板
1519,300068.SZ,300068,南都电源,电气设备,创业板
1520,300069.SZ,300069,金利华电,电气设备,创业板
1521,300070.SZ,300070,碧水源,环境保护,创业板
1522,300071.SZ,300071,华谊嘉信,广告包装,创业板
1523,300072.SZ,300072,三聚环保,环境保护,创业板
1524,300073.SZ,300073,当升科技,矿物制品,创业板
1525,300074.SZ,300074,华平股份,通信设备,创业板
1526,300075.SZ,300075,数字政通,软件服务,创业板
1527,300076.SZ,300076,GQY视讯,IT设备,创业板
1528,300077.SZ,300077,国民技术,半导体,创业板
1529,300078.SZ,300078,思创医惠,软件服务,创业板
1530,300079.SZ,300079,数码视讯,通信设备,创业板
1531,300080.SZ,300080,易成新能,电气设备,创业板
1532,300081.SZ,300081,恒信东方,文教休闲,创业板
1533,300082.SZ,300082,奥克股份,化工原料,创业板
1534,300083.SZ,300083,创世纪,元器件,创业板
1535,300084.SZ,300084,海默科技,石油开采,创业板
1536,300085.SZ,300085,银之杰,软件服务,创业板
1537,300086.SZ,300086,康芝药业,化学制药,创业板
1538,300087.SZ,300087,荃银高科,种植业,创业板
1539,300088.SZ,300088,长信科技,元器件,创业板
1540,300089.SZ,300089,文化长城,文教休闲,创业板
1541,300091.SZ,300091,金通灵,机械基件,创业板
1542,300092.SZ,300092,科新机电,专用机械,创业板
1543,300093.SZ,300093,金刚玻璃,玻璃,创业板
1544,300094.SZ,300094,国联水产,渔业,创业板
1545,300095.SZ,300095,华伍股份,机械基件,创业板
1546,300096.SZ,300096,易联众,软件服务,创业板
1547,300097.SZ,300097,智云股份,电器仪表,创业板
1548,300098.SZ,300098,高新兴,通信设备,创业板
1549,300099.SZ,300099,精准信息,电器仪表,创业板
1550,300100.SZ,300100,双林股份,汽车服务,创业板
1551,300101.SZ,300101,振芯科技,通信设备,创业板
1552,300102.SZ,300102,乾照光电,半导体,创业板
1553,300103.SZ,300103,达刚控股,工程机械,创业板
1554,300105.SZ,300105,龙源技术,电器仪表,创业板
1555,300106.SZ,300106,西部牧业,农业综合,创业板
1556,300107.SZ,300107,建新股份,化工原料,创业板
1557,300108.SZ,300108,吉药控股,中成药,创业板
1558,300109.SZ,300109,新开源,化工原料,创业板
1559,300110.SZ,300110,华仁药业,化学制药,创业板
1560,300111.SZ,300111,向日葵,化学制药,创业板
1561,300112.SZ,300112,万讯自控,电器仪表,创业板
1562,300113.SZ,300113,顺网科技,互联网,创业板
1563,300114.SZ,300114,中航电测,电器仪表,创业板
1564,300115.SZ,300115,长盈精密,元器件,创业板
1565,300116.SZ,300116,保力新,电气设备,创业板
1566,300117.SZ,300117,嘉寓股份,装修装饰,创业板
1567,300118.SZ,300118,东方日升,电气设备,创业板
1568,300119.SZ,300119,瑞普生物,农业综合,创业板
1569,300120.SZ,300120,经纬辉开,元器件,创业板
1570,300121.SZ,300121,阳谷华泰,化工原料,创业板
1571,300122.SZ,300122,智飞生物,生物制药,创业板
1572,300123.SZ,300123,亚光科技,半导体,创业板
1573,300124.SZ,300124,汇川技术,电器仪表,创业板
1574,300125.SZ,300125,聆达股份,电气设备,创业板
1575,300126.SZ,300126,锐奇股份,轻工机械,创业板
1576,300127.SZ,300127,银河磁体,元器件,创业板
1577,300128.SZ,300128,锦富技术,元器件,创业板
1578,300129.SZ,300129,泰胜风能,电气设备,创业板
1579,300130.SZ,300130,新国都,IT设备,创业板
1580,300131.SZ,300131,英唐智控,元器件,创业板
1581,300132.SZ,300132,青松股份,化工原料,创业板
1582,300133.SZ,300133,华策影视,影视音像,创业板
1583,300134.SZ,300134,大富科技,通信设备,创业板
1584,300135.SZ,300135,宝利国际,化工原料,创业板
1585,300136.SZ,300136,信维通信,通信设备,创业板
1586,300137.SZ,300137,先河环保,环境保护,创业板
