stock_id:ID,code,name,industry, market,:LABEL
000524,000524.SZ,岭南控股,酒店餐饮,主板,Stock
000525,000525.SZ,红太阳,农药化肥,主板,Stock
000526,000526.SZ,紫光学大,文教休闲,主板,Stock
000528,000528.SZ,柳工,工程机械,主板,Stock
000529,000529.SZ,广弘控股,食品,主板,Stock
000530,000530.SZ,冰山冷热,机械基件,主板,Stock
000531,000531.SZ,穗恒运A,火力发电,主板,Stock
000532,000532.SZ,华金资本,多元金融,主板,Stock
000533,000533.SZ,顺钠股份,电气设备,主板,Stock
000534,000534.SZ,万泽股份,生物制药,主板,Stock
000536,000536.SZ,*ST华映,元器件,主板,Stock
000537,000537.SZ,广宇发展,区域地产,主板,Stock
000538,000538.SZ,云南白药,中成药,主板,Stock
000539,000539.SZ,粤电力A,火力发电,主板,Stock
000540,000540.SZ,中天金融,多元金融,主板,Stock
000541,000541.SZ,佛山照明,家用电器,主板,Stock
000543,000543.SZ,皖能电力,火力发电,主板,Stock
000544,000544.SZ,中原环保,环境保护,主板,Stock
000545,000545.SZ,金浦钛业,化工原料,主板,Stock
000546,000546.SZ,金圆股份,水泥,主板,Stock
000547,000547.SZ,航天发展,通信设备,主板,Stock
000548,000548.SZ,湖南投资,路桥,主板,Stock
000550,000550.SZ,江铃汽车,汽车整车,主板,Stock
000551,000551.SZ,创元科技,专用机械,主板,Stock
000552,000552.SZ,靖远煤电,煤炭开采,主板,Stock
000553,000553.SZ,安道麦A,农药化肥,主板,Stock
000554,000554.SZ,泰山石油,石油贸易,主板,Stock
000555,000555.SZ,神州信息,软件服务,主板,Stock
000557,000557.SZ,西部创业,铁路,主板,Stock
000558,000558.SZ,莱茵体育,文教休闲,主板,Stock
000559,000559.SZ,万向钱潮,汽车配件,主板,Stock
000560,000560.SZ,我爱我家,房产服务,主板,Stock
000561,000561.SZ,烽火电子,通信设备,主板,Stock
000563,000563.SZ,陕国投A,多元金融,主板,Stock
000564,000564.SZ,供销大集,百货,主板,Stock
000565,000565.SZ,渝三峡A,染料涂料,主板,Stock
000566,000566.SZ,海南海药,化学制药,主板,Stock
000567,000567.SZ,海德股份,多元金融,主板,Stock
000568,000568.SZ,泸州老窖,白酒,主板,Stock
000570,000570.SZ,苏常柴A,机械基件,主板,Stock
000571,000571.SZ,*ST大洲,综合类,主板,Stock
000572,000572.SZ,ST海马,汽车整车,主板,Stock
000573,000573.SZ,粤宏远A,区域地产,主板,Stock
000576,000576.SZ,广东甘化,综合类,主板,Stock
000581,000581.SZ,威孚高科,汽车配件,主板,Stock
000582,000582.SZ,北部湾港,港口,主板,Stock
000584,000584.SZ,哈工智能,专用机械,主板,Stock
000585,000585.SZ,*ST东电,电气设备,主板,Stock
000586,000586.SZ,汇源通信,通信设备,主板,Stock
000587,000587.SZ,*ST金洲,批发业,主板,Stock
000589,000589.SZ,贵州轮胎,汽车配件,主板,Stock
000590,000590.SZ,启迪古汉,中成药,主板,Stock
000591,000591.SZ,太阳能,新型电力,主板,Stock
000592,000592.SZ,平潭发展,林业,主板,Stock
000593,000593.SZ,大通燃气,供气供热,主板,Stock
000595,000595.SZ,*ST宝实,机械基件,主板,Stock
000596,000596.SZ,古井贡酒,白酒,主板,Stock
000597,000597.SZ,东北制药,化学制药,主板,Stock
000598,000598.SZ,兴蓉环境,水务,主板,Stock
000599,000599.SZ,青岛双星,汽车配件,主板,Stock
000600,000600.SZ,建投能源,火力发电,主板,Stock
000601,000601.SZ,韶能股份,水力发电,主板,Stock
000603,000603.SZ,盛达资源,铅锌,主板,Stock
000605,000605.SZ,渤海股份,水务,主板,Stock
000606,000606.SZ,顺利办,互联网,主板,Stock
000607,000607.SZ,华媒控股,广告包装,主板,Stock
000608,000608.SZ,阳光股份,区域地产,主板,Stock
000609,000609.SZ,中迪投资,区域地产,主板,Stock
000610,000610.SZ,西安旅游,旅游服务,主板,Stock
000611,000611.SZ,*ST天首,纺织,主板,Stock
000612,000612.SZ,焦作万方,铝,主板,Stock
000613,000613.SZ,大东海A,旅游服务,主板,Stock
000615,000615.SZ,京汉股份,全国地产,主板,Stock
000616,000616.SZ,海航投资,全国地产,主板,Stock
000617,000617.SZ,中油资本,多元金融,主板,Stock
000619,000619.SZ,海螺型材,其他建材,主板,Stock
000620,000620.SZ,新华联,全国地产,主板,Stock
000622,000622.SZ,恒立实业,汽车配件,主板,Stock
000623,000623.SZ,吉林敖东,化学制药,主板,Stock
000625,000625.SZ,长安汽车,汽车整车,主板,Stock
000626,000626.SZ,远大控股,商贸代理,主板,Stock
000627,000627.SZ,天茂集团,保险,主板,Stock
000628,000628.SZ,高新发展,园区开发,主板,Stock
000629,000629.SZ,攀钢钒钛,小金属,主板,Stock
000630,000630.SZ,铜陵有色,铜,主板,Stock
000631,000631.SZ,顺发恒业,区域地产,主板,Stock
000632,000632.SZ,三木集团,综合类,主板,Stock
000633,000633.SZ,合金投资,综合类,主板,Stock
000635,000635.SZ,英力特,化工原料,主板,Stock
000636,000636.SZ,风华高科,元器件,主板,Stock
000637,000637.SZ,茂化实华,石油加工,主板,Stock
000638,000638.SZ,万方发展,软件服务,主板,Stock
000639,000639.SZ,西王食品,食品,主板,Stock
000650,000650.SZ,仁和药业,中成药,主板,Stock
000651,000651.SZ,格力电器,家用电器,主板,Stock
000652,000652.SZ,泰达股份,批发业,主板,Stock
000655,000655.SZ,金岭矿业,普钢,主板,Stock
000656,000656.SZ,金科股份,区域地产,主板,Stock
000657,000657.SZ,中钨高新,小金属,主板,Stock
000659,000659.SZ,珠海中富,广告包装,主板,Stock
000661,000661.SZ,长春高新,生物制药,主板,Stock
000662,000662.SZ,*ST天夏,软件服务,主板,Stock
000663,000663.SZ,*ST永林,林业,主板,Stock
000665,000665.SZ,湖北广电,影视音像,主板,Stock
000666,000666.SZ,经纬纺机,多元金融,主板,Stock
000667,000667.SZ,美好置业,全国地产,主板,Stock
000668,000668.SZ,荣丰控股,区域地产,主板,Stock
000669,000669.SZ,*ST金鸿,供气供热,主板,Stock
000670,000670.SZ,*ST盈方,元器件,主板,Stock
000671,000671.SZ,阳光城,区域地产,主板,Stock
000672,000672.SZ,上峰水泥,水泥,主板,Stock
000673,000673.SZ,*ST当代,影视音像,主板,Stock
000676,000676.SZ,智度股份,互联网,主板,Stock
000677,000677.SZ,恒天海龙,化纤,主板,Stock
000678,000678.SZ,襄阳轴承,机械基件,主板,Stock
000679,000679.SZ,*ST友谊,百货,主板,Stock
000680,000680.SZ,山推股份,工程机械,主板,Stock
000681,000681.SZ,视觉中国,互联网,主板,Stock
000682,000682.SZ,东方电子,软件服务,主板,Stock
000683,000683.SZ,远兴能源,化工原料,主板,Stock
000685,000685.SZ,中山公用,水务,主板,Stock
000686,000686.SZ,东北证券,证券,主板,Stock
000687,000687.SZ,*ST华讯,通信设备,主板,Stock
000688,000688.SZ,国城矿业,铅锌,主板,Stock
000690,000690.SZ,宝新能源,火力发电,主板,Stock
000691,000691.SZ,亚太实业,区域地产,主板,Stock
000692,000692.SZ,惠天热电,供气供热,主板,Stock
000695,000695.SZ,滨海能源,广告包装,主板,Stock
000697,000697.SZ,炼石航空,航空,主板,Stock
000698,000698.SZ,沈阳化工,化工原料,主板,Stock
000700,000700.SZ,模塑科技,汽车配件,主板,Stock
000701,000701.SZ,厦门信达,综合类,主板,Stock
000702,000702.SZ,正虹科技,饲料,主板,Stock
000703,000703.SZ,恒逸石化,化纤,主板,Stock
000705,000705.SZ,浙江震元,医药商业,主板,Stock
000707,000707.SZ,ST双环,化工原料,主板,Stock
000708,000708.SZ,中信特钢,特种钢,主板,Stock
000709,000709.SZ,河钢股份,普钢,主板,Stock
000710,000710.SZ,贝瑞基因,医疗保健,主板,Stock
000711,000711.SZ,京蓝科技,软件服务,主板,Stock
000712,000712.SZ,锦龙股份,证券,主板,Stock
000713,000713.SZ,丰乐种业,种植业,主板,Stock
000715,000715.SZ,中兴商业,百货,主板,Stock
000716,000716.SZ,黑芝麻,食品,主板,Stock
000717,000717.SZ,韶钢松山,普钢,主板,Stock
000718,000718.SZ,苏宁环球,区域地产,主板,Stock
000719,000719.SZ,中原传媒,出版业,主板,Stock
000720,000720.SZ,新能泰山,区域地产,主板,Stock
000721,000721.SZ,西安饮食,酒店餐饮,主板,Stock
000722,000722.SZ,湖南发展,水力发电,主板,Stock
000723,000723.SZ,美锦能源,焦炭加工,主板,Stock
000725,000725.SZ,京东方A,元器件,主板,Stock
000726,000726.SZ,鲁泰A,纺织,主板,Stock
000727,000727.SZ,*ST东科,元器件,主板,Stock
000728,000728.SZ,国元证券,证券,主板,Stock
000729,000729.SZ,燕京啤酒,啤酒,主板,Stock
000731,000731.SZ,四川美丰,农药化肥,主板,Stock
000732,000732.SZ,泰禾集团,区域地产,主板,Stock
000733,000733.SZ,振华科技,元器件,主板,Stock
000735,000735.SZ,罗牛山,农业综合,主板,Stock
000736,000736.SZ,中交地产,全国地产,主板,Stock
000737,000737.SZ,ST南风,日用化工,主板,Stock
000738,000738.SZ,航发控制,航空,主板,Stock
000739,000739.SZ,普洛药业,化学制药,主板,Stock
000750,000750.SZ,国海证券,证券,主板,Stock
000751,000751.SZ,锌业股份,铅锌,主板,Stock
000752,000752.SZ,*ST西发,啤酒,主板,Stock
000753,000753.SZ,漳州发展,汽车服务,主板,Stock
000755,000755.SZ,山西路桥,公路,主板,Stock
000756,000756.SZ,新华制药,化学制药,主板,Stock
000757,000757.SZ,浩物股份,汽车配件,主板,Stock
000758,000758.SZ,中色股份,铅锌,主板,Stock
000759,000759.SZ,中百集团,超市连锁,主板,Stock
000760,000760.SZ,*ST斯太,汽车配件,主板,Stock
000761,000761.SZ,本钢板材,普钢,主板,Stock
000762,000762.SZ,西藏矿业,小金属,主板,Stock
000766,000766.SZ,通化金马,化学制药,主板,Stock
000767,000767.SZ,漳泽电力,火力发电,主板,Stock
000768,000768.SZ,中航飞机,航空,主板,Stock
000776,000776.SZ,广发证券,证券,主板,Stock
000777,000777.SZ,中核科技,机械基件,主板,Stock
000778,000778.SZ,新兴铸管,钢加工,主板,Stock
000779,000779.SZ,甘咨询,建筑工程,主板,Stock
000780,000780.SZ,*ST平能,煤炭开采,主板,Stock
000782,000782.SZ,美达股份,化纤,主板,Stock
000783,000783.SZ,长江证券,证券,主板,Stock
000785,000785.SZ,居然之家,百货,主板,Stock
000786,000786.SZ,北新建材,其他建材,主板,Stock
000788,000788.SZ,北大医药,化学制药,主板,Stock
000789,000789.SZ,万年青,水泥,主板,Stock
000790,000790.SZ,华神科技,中成药,主板,Stock
000791,000791.SZ,甘肃电投,水力发电,主板,Stock
000792,000792.SZ,*ST盐湖,化工原料,主板,Stock
000793,000793.SZ,华闻集团,出版业,主板,Stock
000795,000795.SZ,英洛华,矿物制品,主板,Stock
000796,000796.SZ,凯撒旅业,旅游服务,主板,Stock
000797,000797.SZ,中国武夷,全国地产,主板,Stock
000798,000798.SZ,中水渔业,渔业,主板,Stock
000799,000799.SZ,酒鬼酒,白酒,主板,Stock
000800,000800.SZ,一汽解放,汽车整车,主板,Stock
000801,000801.SZ,四川九洲,通信设备,主板,Stock
000802,000802.SZ,北京文化,影视音像,主板,Stock
000803,000803.SZ,*ST金宇,电气设备,主板,Stock
000806,000806.SZ,*ST银河,生物制药,主板,Stock
000807,000807.SZ,云铝股份,铝,主板,Stock
000809,000809.SZ,铁岭新城,区域地产,主板,Stock
000810,000810.SZ,创维数字,家用电器,主板,Stock
000811,000811.SZ,冰轮环境,工程机械,主板,Stock
000812,000812.SZ,陕西金叶,广告包装,主板,Stock
000813,000813.SZ,德展健康,化学制药,主板,Stock
000815,000815.SZ,美利云,造纸,主板,Stock
000816,000816.SZ,ST慧业,农用机械,主板,Stock
000818,000818.SZ,航锦科技,化工原料,主板,Stock
000819,000819.SZ,岳阳兴长,石油加工,主板,Stock
000820,000820.SZ,*ST节能,环境保护,主板,Stock
000821,000821.SZ,京山轻机,轻工机械,主板,Stock
000822,000822.SZ,山东海化,化工原料,主板,Stock
000823,000823.SZ,超声电子,元器件,主板,Stock
000825,000825.SZ,太钢不锈,特种钢,主板,Stock
000826,000826.SZ,启迪环境,环境保护,主板,Stock
000828,000828.SZ,东莞控股,路桥,主板,Stock
000829,000829.SZ,天音控股,其他商业,主板,Stock
000830,000830.SZ,鲁西化工,农药化肥,主板,Stock
000831,000831.SZ,五矿稀土,小金属,主板,Stock
000833,000833.SZ,粤桂股份,造纸,主板,Stock
000835,000835.SZ,*ST长动,影视音像,主板,Stock
000836,000836.SZ,富通鑫茂,通信设备,主板,Stock
000837,000837.SZ,*ST秦机,机床制造,主板,Stock
000838,000838.SZ,财信发展,区域地产,主板,Stock
000839,000839.SZ,中信国安,综合类,主板,Stock
000848,000848.SZ,承德露露,软饮料,主板,Stock
000850,000850.SZ,华茂股份,纺织,主板,Stock
000851,000851.SZ,高鸿股份,软件服务,主板,Stock
000852,000852.SZ,石化机械,化工机械,主板,Stock
000856,000856.SZ,冀东装备,机械基件,主板,Stock
000858,000858.SZ,五粮液,白酒,主板,Stock
000859,000859.SZ,国风塑业,塑料,主板,Stock
000860,000860.SZ,顺鑫农业,白酒,主板,Stock
000861,000861.SZ,海印股份,房产服务,主板,Stock
000862,000862.SZ,银星能源,新型电力,主板,Stock
000863,000863.SZ,三湘印象,区域地产,主板,Stock
000868,000868.SZ,ST安凯,汽车整车,主板,Stock
000869,000869.SZ,张裕A,红黄酒,主板,Stock
000875,000875.SZ,吉电股份,火力发电,主板,Stock
000876,000876.SZ,新希望,饲料,主板,Stock
000877,000877.SZ,天山股份,水泥,主板,Stock
000878,000878.SZ,云南铜业,铜,主板,Stock
000880,000880.SZ,潍柴重机,机械基件,主板,Stock
000881,000881.SZ,中广核技,综合类,主板,Stock
000882,000882.SZ,华联股份,其他商业,主板,Stock
000883,000883.SZ,湖北能源,火力发电,主板,Stock
000885,000885.SZ,城发环境,公路,主板,Stock
000886,000886.SZ,海南高速,路桥,主板,Stock
000887,000887.SZ,中鼎股份,橡胶,主板,Stock
000888,000888.SZ,峨眉山A,旅游景点,主板,Stock
000889,000889.SZ,中嘉博创,通信设备,主板,Stock
000890,000890.SZ,*ST胜尔,钢加工,主板,Stock
000892,000892.SZ,欢瑞世纪,影视音像,主板,Stock
000893,000893.SZ,东凌国际,食品,主板,Stock
000895,000895.SZ,双汇发展,食品,主板,Stock
000897,000897.SZ,津滨发展,区域地产,主板,Stock
000898,000898.SZ,鞍钢股份,普钢,主板,Stock
000899,000899.SZ,赣能股份,火力发电,主板,Stock
000900,000900.SZ,现代投资,路桥,主板,Stock
000901,000901.SZ,航天科技,航空,主板,Stock
000902,000902.SZ,新洋丰,农药化肥,主板,Stock
000903,000903.SZ,云内动力,机械基件,主板,Stock
000905,000905.SZ,厦门港务,港口,主板,Stock
000906,000906.SZ,浙商中拓,批发业,主板,Stock
000908,000908.SZ,景峰医药,化学制药,主板,Stock
000909,000909.SZ,数源科技,综合类,主板,Stock
000910,000910.SZ,大亚圣象,家居用品,主板,Stock
000911,000911.SZ,ST南糖,食品,主板,Stock
000912,000912.SZ,泸天化,农药化肥,主板,Stock
000913,000913.SZ,钱江摩托,摩托车,主板,Stock
000915,000915.SZ,山大华特,化学制药,主板,Stock
000917,000917.SZ,电广传媒,影视音像,主板,Stock
000918,000918.SZ,嘉凯城,全国地产,主板,Stock
000919,000919.SZ,金陵药业,化学制药,主板,Stock
000920,000920.SZ,南方汇通,环境保护,主板,Stock
000921,000921.SZ,海信家电,家用电器,主板,Stock
000922,000922.SZ,佳电股份,电气设备,主板,Stock
000923,000923.SZ,河钢资源,普钢,主板,Stock
000925,000925.SZ,众合科技,专用机械,主板,Stock
000926,000926.SZ,福星股份,区域地产,主板,Stock
000927,000927.SZ,*ST夏利,汽车整车,主板,Stock
000928,000928.SZ,中钢国际,建筑工程,主板,Stock
000929,000929.SZ,兰州黄河,啤酒,主板,Stock
000930,000930.SZ,中粮科技,农业综合,主板,Stock
000931,000931.SZ,中关村,生物制药,主板,Stock
000932,000932.SZ,华菱钢铁,普钢,主板,Stock
000933,000933.SZ,神火股份,煤炭开采,主板,Stock
000935,000935.SZ,四川双马,水泥,主板,Stock
000936,000936.SZ,华西股份,化纤,主板,Stock
000937,000937.SZ,冀中能源,煤炭开采,主板,Stock
000938,000938.SZ,紫光股份,软件服务,主板,Stock
000948,000948.SZ,南天信息,软件服务,主板,Stock
000949,000949.SZ,新乡化纤,化纤,主板,Stock
000950,000950.SZ,重药控股,医药商业,主板,Stock
000951,000951.SZ,中国重汽,汽车整车,主板,Stock
000952,000952.SZ,广济药业,化学制药,主板,Stock
000953,000953.SZ,*ST河化,农药化肥,主板,Stock
000955,000955.SZ,欣龙控股,纺织,主板,Stock
000957,000957.SZ,中通客车,汽车整车,主板,Stock
000958,000958.SZ,东方能源,火力发电,主板,Stock
000959,000959.SZ,首钢股份,普钢,主板,Stock
000960,000960.SZ,锡业股份,小金属,主板,Stock
000961,000961.SZ,中南建设,建筑工程,主板,Stock
000962,000962.SZ,东方钽业,小金属,主板,Stock
000963,000963.SZ,华东医药,化学制药,主板,Stock
000965,000965.SZ,天保基建,区域地产,主板,Stock
000966,000966.SZ,长源电力,火力发电,主板,Stock
000967,000967.SZ,盈峰环境,环境保护,主板,Stock
000968,000968.SZ,蓝焰控股,煤炭开采,主板,Stock
000969,000969.SZ,安泰科技,钢加工,主板,Stock
000970,000970.SZ,中科三环,元器件,主板,Stock
000971,000971.SZ,*ST高升,互联网,主板,Stock
000972,000972.SZ,ST中基,食品,主板,Stock
000973,000973.SZ,佛塑科技,塑料,主板,Stock
000975,000975.SZ,银泰黄金,黄金,主板,Stock
000976,000976.SZ,华铁股份,运输设备,主板,Stock
000977,000977.SZ,浪潮信息,IT设备,主板,Stock
000978,000978.SZ,桂林旅游,旅游景点,主板,Stock
000980,000980.SZ,*ST众泰,汽车配件,主板,Stock
000981,000981.SZ,*ST银亿,汽车配件,主板,Stock
000982,000982.SZ,*ST中绒,纺织,主板,Stock
000983,000983.SZ,西山煤电,煤炭开采,主板,Stock
000985,000985.SZ,大庆华科,化工原料,主板,Stock
000987,000987.SZ,越秀金控,多元金融,主板,Stock
000988,000988.SZ,华工科技,电器仪表,主板,Stock
000989,000989.SZ,九芝堂,中成药,主板,Stock
000990,000990.SZ,诚志股份,化工原料,主板,Stock
000993,000993.SZ,闽东电力,水力发电,主板,Stock
000996,000996.SZ,中国中期,汽车服务,主板,Stock
000997,000997.SZ,新大陆,软件服务,主板,Stock
000998,000998.SZ,隆平高科,种植业,主板,Stock
000999,000999.SZ,华润三九,中成药,主板,Stock
001696,001696.SZ,宗申动力,摩托车,主板,Stock
001872,001872.SZ,招商港口,港口,主板,Stock
001896,001896.SZ,豫能控股,火力发电,主板,Stock
001914,001914.SZ,招商积余,房产服务,主板,Stock
001965,001965.SZ,招商公路,路桥,主板,Stock
001979,001979.SZ,招商蛇口,全国地产,主板,Stock
002001,002001.SZ,新和成,化学制药,中小板,Stock
002002,002002.SZ,鸿达兴业,化工原料,中小板,Stock
002003,002003.SZ,伟星股份,服饰,中小板,Stock
002004,002004.SZ,华邦健康,化学制药,中小板,Stock
002005,002005.SZ,*ST德豪,家用电器,中小板,Stock
002006,002006.SZ,精功科技,专用机械,中小板,Stock
002007,002007.SZ,华兰生物,生物制药,中小板,Stock
002008,002008.SZ,大族激光,电器仪表,中小板,Stock
002009,002009.SZ,天奇股份,工程机械,中小板,Stock
002010,002010.SZ,传化智联,仓储物流,中小板,Stock
002011,002011.SZ,盾安环境,工程机械,中小板,Stock
002012,002012.SZ,凯恩股份,造纸,中小板,Stock
002013,002013.SZ,中航机电,航空,中小板,Stock
002014,002014.SZ,永新股份,塑料,中小板,Stock
002015,002015.SZ,协鑫能科,新型电力,中小板,Stock
002016,002016.SZ,世荣兆业,区域地产,中小板,Stock
002017,002017.SZ,东信和平,通信设备,中小板,Stock
002019,002019.SZ,亿帆医药,化学制药,中小板,Stock
002020,002020.SZ,京新药业,化学制药,中小板,Stock
002021,002021.SZ,ST中捷,纺织机械,中小板,Stock
002022,002022.SZ,科华生物,医疗保健,中小板,Stock
002023,002023.SZ,海特高新,航空,中小板,Stock
002024,002024.SZ,苏宁易购,电器连锁,中小板,Stock
002025,002025.SZ,航天电器,元器件,中小板,Stock
002026,002026.SZ,山东威达,机械基件,中小板,Stock
002027,002027.SZ,分众传媒,影视音像,中小板,Stock
002028,002028.SZ,思源电气,电气设备,中小板,Stock
002029,002029.SZ,七匹狼,服饰,中小板,Stock
002030,002030.SZ,达安基因,生物制药,中小板,Stock
002031,002031.SZ,巨轮智能,汽车配件,中小板,Stock
002032,002032.SZ,苏泊尔,家用电器,中小板,Stock
002033,002033.SZ,丽江股份,旅游景点,中小板,Stock
002034,002034.SZ,旺能环境,环境保护,中小板,Stock
002035,002035.SZ,华帝股份,家用电器,中小板,Stock
002036,002036.SZ,联创电子,元器件,中小板,Stock
002037,002037.SZ,保利联合,化工原料,中小板,Stock
002038,002038.SZ,双鹭药业,生物制药,中小板,Stock
002039,002039.SZ,黔源电力,水力发电,中小板,Stock
002040,002040.SZ,南京港,港口,中小板,Stock
002041,002041.SZ,登海种业,种植业,中小板,Stock
002042,002042.SZ,华孚时尚,纺织,中小板,Stock
002043,002043.SZ,兔宝宝,其他建材,中小板,Stock
002044,002044.SZ,美年健康,医疗保健,中小板,Stock
002045,002045.SZ,国光电器,元器件,中小板,Stock
