,ts_code,name,industry,market
140,000553.SZ,安道麦A,农药化肥,主板
141,000554.SZ,泰山石油,石油贸易,主板
142,000555.SZ,神州信息,软件服务,主板
143,000557.SZ,西部创业,铁路,主板
144,000558.SZ,莱茵体育,文教休闲,主板
145,000559.SZ,万向钱潮,汽车配件,主板
146,000560.SZ,我爱我家,房产服务,主板
147,000561.SZ,烽火电子,通信设备,主板
148,000563.SZ,陕国投A,多元金融,主板
149,000564.SZ,供销大集,百货,主板
150,000565.SZ,渝三峡A,染料涂料,主板
151,000566.SZ,海南海药,化学制药,主板
152,000567.SZ,海德股份,多元金融,主板
153,000568.SZ,泸州老窖,白酒,主板
154,000570.SZ,苏常柴A,机械基件,主板
155,000571.SZ,*ST大洲,综合类,主板
156,000572.SZ,ST海马,汽车整车,主板
157,000573.SZ,粤宏远A,区域地产,主板
158,000576.SZ,广东甘化,综合类,主板
159,000581.SZ,威孚高科,汽车配件,主板
160,000582.SZ,北部湾港,港口,主板
161,000584.SZ,哈工智能,专用机械,主板
162,000585.SZ,*ST东电,电气设备,主板
163,000586.SZ,汇源通信,通信设备,主板
164,000587.SZ,*ST金洲,批发业,主板
165,000589.SZ,贵州轮胎,汽车配件,主板
166,000590.SZ,启迪古汉,中成药,主板
167,000591.SZ,太阳能,新型电力,主板
168,000592.SZ,平潭发展,林业,主板
169,000593.SZ,大通燃气,供气供热,主板
170,000595.SZ,*ST宝实,机械基件,主板
171,000596.SZ,古井贡酒,白酒,主板
172,000597.SZ,东北制药,化学制药,主板
173,000598.SZ,兴蓉环境,水务,主板
174,000599.SZ,青岛双星,汽车配件,主板
175,000600.SZ,建投能源,火力发电,主板
176,000601.SZ,韶能股份,水力发电,主板
177,000603.SZ,盛达资源,铅锌,主板
178,000605.SZ,渤海股份,水务,主板
179,000606.SZ,顺利办,互联网,主板
180,000607.SZ,华媒控股,广告包装,主板
181,000608.SZ,阳光股份,区域地产,主板
182,000609.SZ,中迪投资,区域地产,主板
183,000610.SZ,西安旅游,旅游服务,主板
184,000611.SZ,*ST天首,纺织,主板
185,000612.SZ,焦作万方,铝,主板
186,000613.SZ,大东海A,旅游服务,主板
187,000615.SZ,京汉股份,全国地产,主板
188,000616.SZ,海航投资,全国地产,主板
189,000617.SZ,中油资本,多元金融,主板
190,000619.SZ,海螺型材,其他建材,主板
191,000620.SZ,新华联,全国地产,主板
192,000622.SZ,恒立实业,汽车配件,主板
193,000623.SZ,吉林敖东,化学制药,主板
194,000625.SZ,长安汽车,汽车整车,主板
195,000626.SZ,远大控股,商贸代理,主板
196,000627.SZ,天茂集团,保险,主板
197,000628.SZ,高新发展,园区开发,主板
198,000629.SZ,攀钢钒钛,小金属,主板
199,000630.SZ,铜陵有色,铜,主板
200,000631.SZ,顺发恒业,区域地产,主板
201,000632.SZ,三木集团,综合类,主板
202,000633.SZ,合金投资,综合类,主板
203,000635.SZ,英力特,化工原料,主板
